"master_id","slice_id","slice_order","service","section","surface","consumer_surfaces","app","actor","capability","journey_id","page_id","screen_id","logic_id","source_matrix","source_record_ids","source_path","target_path","route_path","target_anchor","fragment_id","layer","artifact_type","operation","domain_rule","api_contract","db_objects","auth_rule","wlt_boundary","wlt_dependency","idempotency_required","state_transitions","error_cases","negative_cases","performance_rule","observability_rule","ui_kit_compliance","visual_reference","evidence_required","decision","status","blocker_code","next_action","acceptance_gate","verification_command","risk","rollback","duplicate_key","notes","execution_domain","source_file","source_row_id","owner_domain","business_domain_rules","db_state_lifecycle","audit_event_contract","notification_triggers","integration_dependencies","i18n_rtl_rules","store_build_target","security_privacy_classification","test_contract","runtime_evidence_contract","feature_flag_provider_control","data_migration_seed_contract","acceptance_criteria","verification_gate"
"MASTER-0001","FOUNDATION","028","core","none","system","","","platform","contract-index","","","","","extraction_matrix","EXT-0001","contracts/master.openapi.yaml","contracts/master.openapi.yaml","index-only; paths must remain empty","contract:FOUNDATION","fragment:EXT-0001","contract","master-openapi-index","define","retain or create only in its owning future slice","index-only; paths must remain empty","none in repair","canonical identity contract when applicable","none","none","TBD_CONFIG_REQUIRED:financial-idempotency-key-design-needed","BLOCKED_NEEDS_WLT:financial-state-machine-pending","BLOCKED_NEEDS_API_CONTRACT:error-cases-spec-pending","BLOCKED_NEEDS_API_CONTRACT:negative-cases-spec-pending","BLOCKED_NEEDS_API_CONTRACT:performance-rule-spec-pending","BLOCKED_NEEDS_WLT:financial-observability-spec-pending","shared ui-kit public boundary","","exists in target and verified - contracts/master.openapi.yaml","ADOPT_AS_IS","INVENTORY_ONLY","NONE","Retain as shared prerequisite","OpenAPI path/schema reviewed and generated client plan exists","pnpm exec spectral lint contracts/master.openapi.yaml","missing or drifting foundation boundary","restore pre-slice inventory state","FOUNDATION|core|none|system|contract-index|contract|master-openapi-index|contracts/master.openapi.yaml|define","","backend","extraction_matrix","EXT-0001","core","N/A_READ_ONLY:platform-ref","N/A_READ_ONLY:not-applicable","N/A_READ_ONLY:not-applicable","N/A_READ_ONLY:not-applicable","N/A_READ_ONLY:not-applicable",,"not-applicable","BLOCKED_NEEDS_EVIDENCE:security-classification-pending","BLOCKED_NEEDS_EVIDENCE:test-contract-pending","BLOCKED_NEEDS_EVIDENCE:runtime-evidence-contract-pending","TBD_CONFIG_REQUIRED:feature-flag-provider-not-decided","N/A_READ_ONLY:no-data-migration-in-this-row","BLOCKED_NEEDS_EVIDENCE:acceptance-criteria-pending","BLOCKED_NEEDS_EVIDENCE:verification-gate-pending"
"MASTER-0002","FOUNDATION","028","core","none","system","","","core","identity-access","","","","","extraction_matrix","EXT-0002","core/identity/contracts/auth.openapi.yaml","core/identity/contracts/auth.openapi.yaml","review at owning slice","contract:FOUNDATION","fragment:EXT-0002","contract","auth-openapi","define","retain or create only in its owning future slice","review at owning slice","none in repair","canonical identity contract when applicable","none","none","TBD_CONFIG_REQUIRED:financial-idempotency-key-design-needed","BLOCKED_NEEDS_WLT:financial-state-machine-pending","BLOCKED_NEEDS_API_CONTRACT:error-cases-spec-pending","BLOCKED_NEEDS_API_CONTRACT:negative-cases-spec-pending","BLOCKED_NEEDS_API_CONTRACT:performance-rule-spec-pending","BLOCKED_NEEDS_WLT:financial-observability-spec-pending","shared ui-kit public boundary","","core/identity/contracts/auth.openapi.yaml","REWRITE_FROM_SPEC","INVENTORY_ONLY","NONE","Retain as shared prerequisite","OpenAPI path/schema reviewed and generated client plan exists","pnpm exec spectral lint contracts/master.openapi.yaml","missing or drifting foundation boundary","restore pre-slice inventory state","FOUNDATION|core|none|system|identity-access|contract|auth-openapi|core/identity/contracts/auth.openapi.yaml|define","","backend","extraction_matrix","EXT-0002","core","N/A_READ_ONLY:platform-ref","N/A_READ_ONLY:not-applicable","N/A_READ_ONLY:not-applicable","N/A_READ_ONLY:not-applicable","N/A_READ_ONLY:not-applicable",,"not-applicable","BLOCKED_NEEDS_EVIDENCE:security-classification-pending","BLOCKED_NEEDS_EVIDENCE:test-contract-pending","BLOCKED_NEEDS_EVIDENCE:runtime-evidence-contract-pending","TBD_CONFIG_REQUIRED:feature-flag-provider-not-decided","N/A_READ_ONLY:no-data-migration-in-this-row","BLOCKED_NEEDS_EVIDENCE:acceptance-criteria-pending","BLOCKED_NEEDS_EVIDENCE:verification-gate-pending"
"MASTER-0003","FOUNDATION","028","shared-ui-kit","none","all-surfaces","","","shared-ui-kit","ui-kit","","","","","extraction_matrix","EXT-0003","shared/ui-kit","shared/ui-kit","review at owning slice","","fragment:EXT-0003","frontend-shared","ui-kit-package","render","retain or create only in its owning future slice","review at owning slice","none in repair","canonical identity contract when applicable","none","none","TBD_CONFIG_REQUIRED:financial-idempotency-key-design-needed","BLOCKED_NEEDS_WLT:financial-state-machine-pending","","","","BLOCKED_NEEDS_WLT:financial-observability-spec-pending","shared ui-kit public boundary","","exists in target and verified - shared/ui-kit","ADOPT_AS_IS","INVENTORY_ONLY","NONE","Retain as shared prerequisite","shared adapter/hook/state path mapped","manual review required","missing or drifting foundation boundary","restore pre-slice inventory state","FOUNDATION|shared-ui-kit|none|all-surfaces|ui-kit|frontend-shared|ui-kit-package|shared/ui-kit|render","","frontend","extraction_matrix","EXT-0003","shared-ui-kit","N/A_READ_ONLY:platform-ref","N/A_READ_ONLY:not-applicable","N/A_READ_ONLY:not-applicable","N/A_READ_ONLY:not-applicable","N/A_READ_ONLY:not-applicable",,"not-applicable","BLOCKED_NEEDS_EVIDENCE:security-classification-pending","BLOCKED_NEEDS_EVIDENCE:test-contract-pending","BLOCKED_NEEDS_EVIDENCE:runtime-evidence-contract-pending","TBD_CONFIG_REQUIRED:feature-flag-provider-not-decided","N/A_READ_ONLY:no-data-migration-in-this-row","BLOCKED_NEEDS_EVIDENCE:acceptance-criteria-pending","BLOCKED_NEEDS_EVIDENCE:verification-gate-pending"
"MASTER-0004","FOUNDATION","028","shared-app-shell","none","all-surfaces","","","shared-app-shell","app-shell","","","","","extraction_matrix","EXT-0004","shared/app-shell","shared/app-shell","review at owning slice","","fragment:EXT-0004","app-mount","shell-package","mount","retain or create only in its owning future slice","review at owning slice","none in repair","canonical identity contract when applicable","none","none","TBD_CONFIG_REQUIRED:financial-idempotency-key-design-needed","BLOCKED_NEEDS_WLT:financial-state-machine-pending","","","","BLOCKED_NEEDS_WLT:financial-observability-spec-pending","shared ui-kit public boundary","","exists in target and verified - shared/app-shell","ADOPT_AS_IS","INVENTORY_ONLY","NONE","Retain as shared prerequisite","app shell mount point declared","manual review required","missing or drifting foundation boundary","restore pre-slice inventory state","FOUNDATION|shared-app-shell|none|all-surfaces|app-shell|app-mount|shell-package|shared/app-shell|mount","","backend","extraction_matrix","EXT-0004","shared-app-shell","N/A_READ_ONLY:platform-ref","N/A_READ_ONLY:not-applicable","N/A_READ_ONLY:not-applicable","N/A_READ_ONLY:not-applicable","N/A_READ_ONLY:not-applicable",,"not-applicable","BLOCKED_NEEDS_EVIDENCE:security-classification-pending","BLOCKED_NEEDS_EVIDENCE:test-contract-pending","BLOCKED_NEEDS_EVIDENCE:runtime-evidence-contract-pending","TBD_CONFIG_REQUIRED:feature-flag-provider-not-decided","N/A_READ_ONLY:no-data-migration-in-this-row","BLOCKED_NEEDS_EVIDENCE:acceptance-criteria-pending","BLOCKED_NEEDS_EVIDENCE:verification-gate-pending"
"MASTER-0005","FOUNDATION","028","core","none","system","","","core","runtime-compose","","","","","extraction_matrix","EXT-0005","infra/docker","infra/docker","review at owning slice","","fragment:EXT-0005","docker","docker-runtime","deploy","retain or create only in its owning future slice","review at owning slice","none in repair","canonical identity contract when applicable","none","none","TBD_CONFIG_REQUIRED:financial-idempotency-key-design-needed","BLOCKED_NEEDS_WLT:financial-state-machine-pending","","","","BLOCKED_NEEDS_WLT:financial-observability-spec-pending","shared ui-kit public boundary","","exists in target and verified - infra/docker","ADOPT_AS_IS","INVENTORY_ONLY","NONE","Retain as shared prerequisite","local runtime dependency declared","manual review required","missing or drifting foundation boundary","restore pre-slice inventory state","FOUNDATION|core|none|system|runtime-compose|docker|docker-runtime|infra/docker|deploy","","backend","extraction_matrix","EXT-0005","core","N/A_READ_ONLY:platform-ref","N/A_READ_ONLY:not-applicable","N/A_READ_ONLY:not-applicable","N/A_READ_ONLY:not-applicable","N/A_READ_ONLY:not-applicable",,"not-applicable","BLOCKED_NEEDS_EVIDENCE:security-classification-pending","BLOCKED_NEEDS_EVIDENCE:test-contract-pending","BLOCKED_NEEDS_EVIDENCE:runtime-evidence-contract-pending","TBD_CONFIG_REQUIRED:feature-flag-provider-not-decided","N/A_READ_ONLY:no-data-migration-in-this-row","BLOCKED_NEEDS_EVIDENCE:acceptance-criteria-pending","BLOCKED_NEEDS_EVIDENCE:verification-gate-pending"
"MASTER-0006","FOUNDATION","028","core","none","system","","","core","data-plane","","","","","extraction_matrix","EXT-0006","infra/data-plane","infra/data-plane","review at owning slice","","fragment:EXT-0006","database","data-plane","migrate","retain or create only in its owning future slice","review at owning slice","none in repair","canonical identity contract when applicable","none","none","TBD_CONFIG_REQUIRED:financial-idempotency-key-design-needed","BLOCKED_NEEDS_WLT:financial-state-machine-pending","","","","BLOCKED_NEEDS_WLT:financial-observability-spec-pending","shared ui-kit public boundary","","exists in target and verified - infra/data-plane","ADOPT_AS_IS","INVENTORY_ONLY","NONE","Retain as shared prerequisite","table/read-model/index/idempotency plan defined","manual review required","missing or drifting foundation boundary","restore pre-slice inventory state","FOUNDATION|core|none|system|data-plane|database|data-plane|infra/data-plane|migrate","","infra","extraction_matrix","EXT-0006","core","N/A_READ_ONLY:platform-ref","BLOCKED_NEEDS_DB_SHAPE:db-state-lifecycle-pending","N/A_READ_ONLY:not-applicable","N/A_READ_ONLY:not-applicable","N/A_READ_ONLY:not-applicable",,"not-applicable","BLOCKED_NEEDS_EVIDENCE:security-classification-pending","BLOCKED_NEEDS_EVIDENCE:test-contract-pending","BLOCKED_NEEDS_EVIDENCE:runtime-evidence-contract-pending","TBD_CONFIG_REQUIRED:feature-flag-provider-not-decided","N/A_READ_ONLY:no-data-migration-in-this-row","BLOCKED_NEEDS_EVIDENCE:acceptance-criteria-pending","BLOCKED_NEEDS_EVIDENCE:verification-gate-pending"
"MASTER-0007","FOUNDATION","028","shared-app-shell","none","system","","","shared-app-shell","service-template","","","","","extraction_matrix","EXT-0007","SPEC:FOUNDATION:services/_template-required","services/_template","review at owning slice","","fragment:EXT-0007","governance","missing-service-template","document","retain or create only in its owning future slice","review at owning slice","none in repair","canonical identity contract when applicable","none","none","TBD_CONFIG_REQUIRED:financial-idempotency-key-design-needed","BLOCKED_NEEDS_WLT:financial-state-machine-pending","BLOCKED_NEEDS_API_CONTRACT:error-cases-spec-pending","BLOCKED_NEEDS_API_CONTRACT:negative-cases-spec-pending","BLOCKED_NEEDS_API_CONTRACT:performance-rule-spec-pending","BLOCKED_NEEDS_WLT:financial-observability-spec-pending","shared ui-kit public boundary","","SPEC:services/_template-required","REWRITE_FROM_SPEC","BLOCKED_NEEDS_EVIDENCE","MISSING_VISUAL_EVIDENCE","Resolve missing foundation artifact before dependent slice","governance document reviewed and linked","manual review required","missing or drifting foundation boundary","restore pre-slice inventory state","FOUNDATION|shared-app-shell|none|system|service-template|governance|missing-service-template|services/_template|document","","governance","extraction_matrix","EXT-0007","shared-app-shell","N/A_READ_ONLY:platform-ref","N/A_READ_ONLY:not-applicable","N/A_READ_ONLY:not-applicable","N/A_READ_ONLY:not-applicable","N/A_READ_ONLY:not-applicable",,"not-applicable","BLOCKED_NEEDS_EVIDENCE:security-classification-pending","BLOCKED_NEEDS_EVIDENCE:test-contract-pending","BLOCKED_NEEDS_EVIDENCE:runtime-evidence-contract-pending","TBD_CONFIG_REQUIRED:feature-flag-provider-not-decided","N/A_READ_ONLY:no-data-migration-in-this-row","BLOCKED_NEEDS_EVIDENCE:acceptance-criteria-pending","BLOCKED_NEEDS_EVIDENCE:verification-gate-pending"
"MASTER-0008","PHASE-10A","999","dsh","none","system","","","dsh","service-manifest","","","","","extraction_matrix","EXT-0008","services/dsh/service.manifest.ts","services/dsh/service.manifest.ts","review at owning slice","","fragment:EXT-0008","governance","service-manifest","document","retain or create only in its owning future slice","review at owning slice","none in repair","canonical identity contract when applicable","none","none","TBD_CONFIG_REQUIRED:financial-idempotency-key-design-needed","BLOCKED_NEEDS_WLT:financial-state-machine-pending","BLOCKED_NEEDS_API_CONTRACT:error-cases-spec-pending","BLOCKED_NEEDS_API_CONTRACT:negative-cases-spec-pending","BLOCKED_NEEDS_API_CONTRACT:performance-rule-spec-pending","BLOCKED_NEEDS_WLT:financial-observability-spec-pending","shared ui-kit public boundary","","exists in target and verified - services/dsh/service.manifest.ts","ADOPT_AS_IS","INVENTORY_ONLY","NONE","Retain as shared prerequisite","governance document reviewed and linked","manual review required","missing or drifting foundation boundary","restore pre-slice inventory state","PHASE-10A|dsh|none|system|service-manifest|governance|service-manifest|services/dsh/service.manifest.ts|document","","governance","extraction_matrix","EXT-0008","dsh","BLOCKED_NEEDS_DOMAIN_MODEL:dsh-domain-rules-pending","N/A_READ_ONLY:not-applicable","N/A_READ_ONLY:not-applicable","N/A_READ_ONLY:not-applicable","N/A_READ_ONLY:not-applicable",,"not-applicable","BLOCKED_NEEDS_EVIDENCE:security-classification-pending","BLOCKED_NEEDS_EVIDENCE:test-contract-pending","BLOCKED_NEEDS_EVIDENCE:runtime-evidence-contract-pending","TBD_CONFIG_REQUIRED:feature-flag-provider-not-decided","N/A_READ_ONLY:no-data-migration-in-this-row","BLOCKED_NEEDS_EVIDENCE:acceptance-criteria-pending","BLOCKED_NEEDS_EVIDENCE:verification-gate-pending"
"MASTER-0009","WLT-FOUNDATION","028","wlt","none","system","","","wlt","service-manifest","","","","","extraction_matrix","EXT-0009","SPEC:WLT-FOUNDATION:services/wlt/service.manifest.ts-required","services/wlt/service.manifest.ts","review at owning slice","","fragment:EXT-0009","governance","missing-service-manifest","document","retain or create only in its owning future slice","review at owning slice","none in repair","canonical identity contract when applicable","read-only-reference","read-only-reference","TBD_CONFIG_REQUIRED:financial-idempotency-key-design-needed","BLOCKED_NEEDS_WLT:financial-state-machine-pending","BLOCKED_NEEDS_API_CONTRACT:error-cases-spec-pending","BLOCKED_NEEDS_API_CONTRACT:negative-cases-spec-pending","BLOCKED_NEEDS_API_CONTRACT:performance-rule-spec-pending","BLOCKED_NEEDS_WLT:financial-observability-spec-pending","shared ui-kit public boundary","","SPEC:services/wlt/service.manifest.ts-required","REWRITE_FROM_SPEC","BLOCKED_NEEDS_EVIDENCE","MISSING_VISUAL_EVIDENCE","Resolve missing foundation artifact before dependent slice","governance document reviewed and linked","manual review required","missing or drifting foundation boundary","restore pre-slice inventory state","WLT-FOUNDATION|wlt|none|system|service-manifest|governance|missing-service-manifest|services/wlt/service.manifest.ts|document","","governance","extraction_matrix","EXT-0009","wlt","BLOCKED_NEEDS_WLT:wlt-domain-rules-pending","N/A_READ_ONLY:not-applicable","BLOCKED_NEEDS_WLT:audit-event-contract-pending","N/A_READ_ONLY:not-applicable","N/A_READ_ONLY:not-applicable",,"not-applicable","BLOCKED_NEEDS_EVIDENCE:security-classification-pending","BLOCKED_NEEDS_EVIDENCE:test-contract-pending","BLOCKED_NEEDS_EVIDENCE:runtime-evidence-contract-pending","TBD_CONFIG_REQUIRED:feature-flag-provider-not-decided","N/A_READ_ONLY:no-data-migration-in-this-row","BLOCKED_NEEDS_EVIDENCE:acceptance-criteria-pending","BLOCKED_NEEDS_EVIDENCE:verification-gate-pending"
"MASTER-0010","RESERVED","028","core","none","all-surfaces","","","core","reserved-inventory","","","","","extraction_matrix","EXT-0010","SPEC:RESERVED:reserved-service-knz","services/knz","none","","fragment:EXT-0010","governance","reserved-service","document","do not activate","none","none","none until activation","none","none","TBD_CONFIG_REQUIRED:financial-idempotency-key-design-needed","BLOCKED_NEEDS_WLT:financial-state-machine-pending","BLOCKED_NEEDS_API_CONTRACT:error-cases-spec-pending","BLOCKED_NEEDS_API_CONTRACT:negative-cases-spec-pending","BLOCKED_NEEDS_API_CONTRACT:performance-rule-spec-pending","BLOCKED_NEEDS_WLT:financial-observability-spec-pending","required if activated","","governance/02_SERVICES_AND_SURFACES.md","REFERENCE_ONLY","RESERVED_INVENTORY","RESERVED_SCOPE","Remain inactive until an independently approved service slice","governance document reviewed and linked","manual review required","accidental scope expansion","remove accidental mount or registration","RESERVED|core|none|all-surfaces|reserved-inventory|governance|reserved-service|services/knz|document","","governance","extraction_matrix","EXT-0010","core","N/A_READ_ONLY:platform-ref","N/A_READ_ONLY:not-applicable","N/A_READ_ONLY:not-applicable","N/A_READ_ONLY:not-applicable","N/A_READ_ONLY:not-applicable",,"not-applicable","BLOCKED_NEEDS_EVIDENCE:security-classification-pending","BLOCKED_NEEDS_EVIDENCE:test-contract-pending","BLOCKED_NEEDS_EVIDENCE:runtime-evidence-contract-pending","TBD_CONFIG_REQUIRED:feature-flag-provider-not-decided","N/A_READ_ONLY:no-data-migration-in-this-row","BLOCKED_NEEDS_EVIDENCE:acceptance-criteria-pending","BLOCKED_NEEDS_EVIDENCE:verification-gate-pending"
