finding_id,evidence_ids,phase_id,work_item_ids,verification_ids,status
FND-0001,EVD-0001,PHASE-10,TASK-0018,VER-0018,OPEN
FND-0002,EVD-0002,PHASE-02,TASK-0001,VER-0001,OPEN
FND-0003,EVD-0003,PHASE-02,TASK-0002,VER-0002,OPEN
FND-0004,EVD-0004,PHASE-01,TASK-0003,VER-0003,OPEN
FND-0005,EVD-0005,PHASE-01,TASK-0004,VER-0004,OPEN
FND-0006,EVD-0006,PHASE-01,TASK-0004,VER-0004,OPEN
FND-0007,EVD-0007,PHASE-03,TASK-0005,VER-0005,OPEN
FND-0008,EVD-0008,PHASE-06,TASK-0013,VER-0013,OPEN
FND-0009,EVD-0009,PHASE-06,TASK-0014|TASK-0015|TASK-0016|TASK-0017,VER-0014|VER-0015|VER-0016|VER-0017,OPEN
FND-0010,EVD-0010,PHASE-01,TASK-0007,VER-0007,OPEN
FND-0011,EVD-0011,PHASE-01,TASK-0010,VER-0010,OPEN
FND-0012,EVD-0012,PHASE-05,TASK-0009,VER-0009,OPEN
FND-0013,EVD-0013,PHASE-04,TASK-0006,VER-0006,OPEN
FND-0014,EVD-0014,PHASE-05,TASK-0011,VER-0011,OPEN
FND-0015,EVD-0015,PHASE-05,TASK-0012,VER-0012,OPEN
FND-0016,EVD-0016,PHASE-05,TASK-0011,VER-0011,OPEN
FND-0017,EVD-0017,PHASE-10,TASK-0018,VER-0018,OPEN
FND-0018,EVD-0018,PHASE-01,TASK-0007,VER-0007,OPEN
FND-0019,EVD-0019,PHASE-01,TASK-0008,VER-0008,OPEN
FND-0020,EVD-0020,PHASE-07,TASK-0015|TASK-0016|TASK-0017|TASK-0018,VER-0015|VER-0016|VER-0017|VER-0018,OPEN
