file,line,method,path,operation_id,owner,baseline_sha
core/identity/contracts/employee-access.openapi.yaml,21,GET,/internal/employees/permission-bundles,listAdministrativeEmployeePermissionBundles,identity,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
core/identity/contracts/employee-access.openapi.yaml,51,POST,/internal/employees/provision,provisionAdministrativeEmployee,identity,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
core/identity/contracts/identity.openapi.yaml,16,GET,/identity/health,getIdentityHealth,identity,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
core/identity/contracts/identity.openapi.yaml,30,GET,/identity/readiness,getIdentityReadiness,identity,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
core/identity/contracts/identity.openapi.yaml,46,POST,/auth/login,login,identity,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
core/identity/contracts/identity.openapi.yaml,72,POST,/auth/otp/request,requestOtp,identity,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
core/identity/contracts/identity.openapi.yaml,98,POST,/auth/activate,activateActor,identity,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
core/identity/contracts/identity.openapi.yaml,124,POST,/auth/logout,logout,identity,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
core/identity/contracts/identity.openapi.yaml,135,POST,/auth/refresh,refreshSession,identity,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
core/identity/contracts/identity.openapi.yaml,157,GET,/auth/session,getAuthSession,identity,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
core/identity/contracts/identity.openapi.yaml,172,POST,/auth/introspect,introspectToken,identity,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
core/identity/contracts/identity.openapi.yaml,194,GET,/auth/sessions,listSessions,identity,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
core/identity/contracts/identity.openapi.yaml,212,DELETE,/auth/sessions/{sessionId},revokeSession,identity,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
core/identity/contracts/identity.openapi.yaml,232,DELETE,/auth/account,deleteAccount,identity,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
core/identity/contracts/identity.openapi.yaml,244,POST,/auth/password/change,changePassword,identity,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
core/identity/contracts/identity.openapi.yaml,269,POST,/internal/actors/provision,provisionActor,identity,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
core/identity/contracts/identity.openapi.yaml,309,GET,/internal/actors/search,searchInternalActors,identity,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
core/identity/contracts/identity.openapi.yaml,340,GET,/internal/actors/{actorId},getInternalActor,identity,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
core/identity/contracts/identity.openapi.yaml,362,POST,/internal/actors/{actorId}/deactivate,deactivateActor,identity,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
core/identity/contracts/identity.openapi.yaml,407,POST,/internal/actors/{actorId}/reactivate,reactivateActor,identity,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
core/identity/contracts/identity.openapi.yaml,450,POST,/internal/actors/{actorId}/activations,issueActivationForActor,identity,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
core/identity/contracts/identity.openapi.yaml,502,GET,/internal/actors/{actorId}/activations/latest,getLatestActivationForActor,identity,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
core/identity/contracts/identity.openapi.yaml,525,POST,/internal/actors/{actorId}/activations/revoke,revokeActorActivations,identity,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
core/identity/contracts/identity.openapi.yaml,542,GET,/internal/partner/permission-bundles,listPartnerPermissionBundles,identity,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
core/identity/contracts/identity.openapi.yaml,574,POST,/internal/partner/actors/provision,provisionPartnerActor,identity,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
core/identity/contracts/identity.openapi.yaml,602,PUT,/internal/partner/actors/{actorId}/store-access,setPartnerStoreAccess,identity,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
core/identity/contracts/identity.openapi.yaml,631,POST,/internal/partner/actors/{actorId}/activations,issuePartnerActivation,identity,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
core/platform-control/contracts/platform-change-sets.openapi.yaml,12,GET,/platform/v1/change-sets,listPlatformChangeSets,platform-control,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
core/platform-control/contracts/platform-change-sets.openapi.yaml,33,POST,/platform/v1/change-sets,createPlatformChangeSet,platform-control,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
core/platform-control/contracts/platform-change-sets.openapi.yaml,51,GET,/platform/v1/change-sets/{id},getPlatformChangeSet,platform-control,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
core/platform-control/contracts/platform-change-sets.openapi.yaml,63,POST,/platform/v1/change-sets/{id}/validate,validatePlatformChangeSet,platform-control,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
core/platform-control/contracts/platform-change-sets.openapi.yaml,76,POST,/platform/v1/change-sets/{id}/submit,submitPlatformChangeSet,platform-control,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
core/platform-control/contracts/platform-change-sets.openapi.yaml,88,POST,/platform/v1/change-sets/{id}/approve,approvePlatformChangeSet,platform-control,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
core/platform-control/contracts/platform-change-sets.openapi.yaml,100,POST,/platform/v1/change-sets/{id}/reject,rejectPlatformChangeSet,platform-control,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
core/platform-control/contracts/platform-change-sets.openapi.yaml,118,POST,/platform/v1/change-sets/{id}/apply,applyPlatformChangeSet,platform-control,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
core/platform-control/contracts/platform-change-sets.openapi.yaml,130,POST,/platform/v1/change-sets/{id}/rollback,rollbackPlatformChangeSet,platform-control,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
core/platform-control/contracts/platform-control.openapi.yaml,21,GET,/platform/health,getPlatformControlProcessHealth,platform-control,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
core/platform-control/contracts/platform-control.openapi.yaml,31,GET,/platform/readiness,getPlatformControlReadiness,platform-control,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
core/platform-control/contracts/platform-control.openapi.yaml,41,GET,/platform/v1/runtime-config,getPlatformRuntimeConfig,platform-control,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
core/platform-control/contracts/platform-control.openapi.yaml,57,GET,/platform/v1/runtime-config/effective,getEffectiveRuntimeConfig,platform-control,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
core/platform-control/contracts/platform-control.openapi.yaml,74,GET,/platform/v1/variables,listPlatformVariables,platform-control,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
core/platform-control/contracts/platform-control.openapi.yaml,97,GET,/platform/v1/variables/{key},getPlatformVariable,platform-control,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
core/platform-control/contracts/platform-control.openapi.yaml,127,GET,/platform/v1/feature-flags,listPlatformFeatureFlags,platform-control,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
core/platform-control/contracts/platform-control.openapi.yaml,150,GET,/platform/v1/services,listPlatformServices,platform-control,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
core/platform-control/contracts/platform-control.openapi.yaml,172,GET,/platform/v1/health,getPlatformHealth,platform-control,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
core/platform-control/contracts/platform-control.openapi.yaml,188,GET,/platform/v1/audit-events,listPlatformAuditEvents,platform-control,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
core/platform-control/contracts/platform-progressive-rollout.openapi.yaml,14,GET,/platform/v1/rollouts,listPlatformRollouts,platform-control,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
core/platform-control/contracts/platform-progressive-rollout.openapi.yaml,33,POST,/platform/v1/rollouts,createPlatformRollout,platform-control,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
core/platform-control/contracts/platform-progressive-rollout.openapi.yaml,48,GET,/platform/v1/rollouts/{id},getPlatformRollout,platform-control,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
core/platform-control/contracts/platform-progressive-rollout.openapi.yaml,58,GET,/platform/v1/rollouts/{id}/recovery,getPlatformRolloutRecovery,platform-control,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
core/platform-control/contracts/platform-progressive-rollout.openapi.yaml,79,POST,/platform/v1/rollouts/{id}/advance,advancePlatformRollout,platform-control,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
core/platform-control/contracts/platform-progressive-rollout.openapi.yaml,90,POST,/platform/v1/rollouts/{id}/pause,pausePlatformRollout,platform-control,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
core/platform-control/contracts/platform-progressive-rollout.openapi.yaml,101,POST,/platform/v1/rollouts/{id}/resume,resumePlatformRollout,platform-control,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
