mismatch_id,contract_file,contract_line,method,path,observed,required_decision,finding_id,task_id,verification_id,source
CRM-001,services/dsh/contracts/dsh.openapi.yaml,5,POST,/dsh/operator/workforce/media/uploads,MISSING_IMPLEMENTATION_IN_SERVER_REGISTRATION,RESTORE_IMPLEMENTATION_OR_RETIRE_CONTRACT_AFTER_CONSUMER_CENSUS,FND-0007,TASK-0005,VER-0005,contract-diagnostics artifact run 30915539526
CRM-002,services/dsh/contracts/dsh.openapi.yaml,809,PUT,/dsh/stores/{storeId}/images/{role},MISSING_IMPLEMENTATION_IN_SERVER_REGISTRATION,RESTORE_IMPLEMENTATION_OR_RETIRE_CONTRACT_AFTER_CONSUMER_CENSUS,FND-0007,TASK-0005,VER-0005,contract-diagnostics artifact run 30915539526
CRM-003,services/dsh/contracts/dsh.openapi.yaml,338,PUT,/dsh/partner/catalog/product-proposals/{proposalId},MISSING_IMPLEMENTATION_IN_SERVER_REGISTRATION,RESTORE_IMPLEMENTATION_OR_RETIRE_CONTRACT_AFTER_CONSUMER_CENSUS,FND-0007,TASK-0005,VER-0005,contract-diagnostics artifact run 30915539526
CRM-004,services/dsh/contracts/dsh.openapi.yaml,450,PUT,/dsh/field/partners/{partnerId}/catalog/product-proposals/{proposalId},MISSING_IMPLEMENTATION_IN_SERVER_REGISTRATION,RESTORE_IMPLEMENTATION_OR_RETIRE_CONTRACT_AFTER_CONSUMER_CENSUS,FND-0007,TASK-0005,VER-0005,contract-diagnostics artifact run 30915539526
CRM-005,services/dsh/contracts/dsh.openapi.yaml,321,POST,/dsh/operator/admin/roles,MISSING_IMPLEMENTATION_IN_SERVER_REGISTRATION,RESTORE_IMPLEMENTATION_OR_RETIRE_CONTRACT_AFTER_CONSUMER_CENSUS,FND-0007,TASK-0005,VER-0005,contract-diagnostics artifact run 30915539526
CRM-006,services/dsh/contracts/dsh.openapi.yaml,873,POST,/dsh/operator/admin/partners/{partnerId}/activate,MISSING_IMPLEMENTATION_IN_SERVER_REGISTRATION,RESTORE_IMPLEMENTATION_OR_RETIRE_CONTRACT_AFTER_CONSUMER_CENSUS,FND-0007,TASK-0005,VER-0005,contract-diagnostics artifact run 30915539526
CRM-007,services/dsh/contracts/dsh.openapi.yaml,900,POST,/dsh/operator/admin/partners/{partnerId}/block,MISSING_IMPLEMENTATION_IN_SERVER_REGISTRATION,RESTORE_IMPLEMENTATION_OR_RETIRE_CONTRACT_AFTER_CONSUMER_CENSUS,FND-0007,TASK-0005,VER-0005,contract-diagnostics artifact run 30915539526
CRM-008,services/dsh/contracts/dsh.openapi.yaml,96,POST,/dsh/operator/admin/captains/{captainId}/credential,MISSING_IMPLEMENTATION_IN_SERVER_REGISTRATION,RESTORE_IMPLEMENTATION_OR_RETIRE_CONTRACT_AFTER_CONSUMER_CENSUS,FND-0007,TASK-0005,VER-0005,contract-diagnostics artifact run 30915539526
CRM-009,services/dsh/contracts/dsh.partner-support.openapi.yaml,15,GET,/dsh/partner/support/tickets,MISSING_IMPLEMENTATION_IN_SERVER_REGISTRATION,RESTORE_IMPLEMENTATION_OR_RETIRE_CONTRACT_AFTER_CONSUMER_CENSUS,FND-0007,TASK-0005,VER-0005,contract-diagnostics artifact run 30915539526
CRM-010,services/dsh/contracts/dsh.partner-support.openapi.yaml,33,POST,/dsh/partner/support/tickets,MISSING_IMPLEMENTATION_IN_SERVER_REGISTRATION,RESTORE_IMPLEMENTATION_OR_RETIRE_CONTRACT_AFTER_CONSUMER_CENSUS,FND-0007,TASK-0005,VER-0005,contract-diagnostics artifact run 30915539526
CRM-011,services/dsh/contracts/dsh.partner-support.openapi.yaml,63,GET,/dsh/partner/support/tickets/{ticketId},MISSING_IMPLEMENTATION_IN_SERVER_REGISTRATION,RESTORE_IMPLEMENTATION_OR_RETIRE_CONTRACT_AFTER_CONSUMER_CENSUS,FND-0007,TASK-0005,VER-0005,contract-diagnostics artifact run 30915539526
CRM-012,services/dsh/contracts/dsh.partner-support.openapi.yaml,83,GET,/dsh/partner/support/tickets/{ticketId}/messages,MISSING_IMPLEMENTATION_IN_SERVER_REGISTRATION,RESTORE_IMPLEMENTATION_OR_RETIRE_CONTRACT_AFTER_CONSUMER_CENSUS,FND-0007,TASK-0005,VER-0005,contract-diagnostics artifact run 30915539526
