source,line,specifier,edge_kind,owner
apps/app-captain/runtime/app.config.ts,1,../../../tools/mobile/defineBthwaniExpoApp,IMPORT_OR_EXPORT,app-captain
apps/app-captain/runtime/fingerprint.config.js,1,@expo/fingerprint,IMPORT_OR_EXPORT,app-captain
apps/app-captain/runtime/index.js,2,./src/index.ts,IMPORT_OR_EXPORT,app-captain
apps/app-captain/runtime/metro.config.cjs,2,@sentry/react-native/metro,IMPORT_OR_EXPORT,app-captain
apps/app-captain/runtime/metro.config.cjs,3,path,IMPORT_OR_EXPORT,app-captain
apps/app-captain/runtime/src/App.tsx,1,react,IMPORT_OR_EXPORT,app-captain
apps/app-captain/runtime/src/App.tsx,2,react-native,IMPORT_OR_EXPORT,app-captain
apps/app-captain/runtime/src/App.tsx,3,expo-secure-store,IMPORT_OR_EXPORT,app-captain
apps/app-captain/runtime/src/App.tsx,10,@bthwani/ui-kit,IMPORT_OR_EXPORT,app-captain
apps/app-captain/runtime/src/App.tsx,12,../../../../services/dsh/frontend/app-captain,IMPORT_OR_EXPORT,app-captain
apps/app-captain/runtime/src/App.tsx,13,../../../../services/dsh/frontend/shared/session/IdentitySessionGate,IMPORT_OR_EXPORT,app-captain
apps/app-captain/runtime/src/App.tsx,14,../../../../services/dsh/frontend/shared/notifications/use-mobile-push-registration,IMPORT_OR_EXPORT,app-captain
apps/app-captain/runtime/src/config/sentry-config.ts,1,expo-constants,IMPORT_OR_EXPORT,app-captain
apps/app-captain/runtime/src/index.ts,1,react,IMPORT_OR_EXPORT,app-captain
apps/app-captain/runtime/src/index.ts,2,expo,IMPORT_OR_EXPORT,app-captain
apps/app-captain/runtime/src/index.ts,3,@sentry/react-native,IMPORT_OR_EXPORT,app-captain
apps/app-captain/runtime/src/index.ts,4,react-native-safe-area-context,IMPORT_OR_EXPORT,app-captain
apps/app-captain/runtime/src/index.ts,5,@bthwani/ui-kit,IMPORT_OR_EXPORT,app-captain
apps/app-captain/runtime/src/index.ts,6,@bthwani/core-identity,IMPORT_OR_EXPORT,app-captain
apps/app-captain/runtime/src/index.ts,15,./observability/sentry,IMPORT_OR_EXPORT,app-captain
