group_id,sha256,bytes_each,file_count,owners,paths,decision
DUP-0001,d2e1f35651e7125df79c3d20986e718c09d721c7f99b7ef47515971334f7ab98,588092,16,app-captain | app-client | app-field | app-partner,apps/app-captain/runtime/assets/adaptive-icon.png | apps/app-captain/runtime/assets/icon.png | apps/app-captain/runtime/assets/notification-icon.png | apps/app-captain/runtime/assets/splash-icon.png | apps/app-client/runtime/assets/adaptive-icon.png | apps/app-client/runtime/assets/icon.png | apps/app-client/runtime/assets/notification-icon.png | apps/app-client/runtime/assets/splash-icon.png | apps/app-field/runtime/assets/adaptive-icon.png | apps/app-field/runtime/assets/icon.png | apps/app-field/runtime/assets/notification-icon.png | apps/app-field/runtime/assets/splash-icon.png | apps/app-partner/runtime/assets/adaptive-icon.png | apps/app-partner/runtime/assets/icon.png | apps/app-partner/runtime/assets/notification-icon.png | apps/app-partner/runtime/assets/splash-icon.png,MATERIALIZE_FROM_DETERMINISTIC_ASSET_PROVENANCE_BEFORE_DEDUPLICATION
DUP-0002,5243d4032c026ab26b15a234e7a40e3ac1f5b772f3bac5b4f5e66ec6474ccabe,60841,5,dsh,services/dsh/database/seeds/local/media/realistic/product-electronics-1.jpg | services/dsh/database/seeds/local/media/realistic/product-electronics-2.jpg | services/dsh/database/seeds/local/media/realistic/product-electronics-3.jpg | services/dsh/database/seeds/local/media/realistic/product-electronics-4.jpg | services/dsh/database/seeds/local/media/realistic/product-electronics-5.jpg,CLASSIFY_INTENTIONAL_GENERATED_RUNTIME_OR_MANUAL_DUPLICATE
DUP-0003,632335f6e67e74f3b4668564694e9cc8d19617b42f03e12b67de9e56446311df,970,5,app-captain | app-client | app-field | app-partner | tools,apps/app-captain/runtime/eas.json | apps/app-client/runtime/eas.json | apps/app-field/runtime/eas.json | apps/app-partner/runtime/eas.json | tools/mobile/eas.template.json,CLASSIFY_INTENTIONAL_GENERATED_RUNTIME_OR_MANUAL_DUPLICATE
DUP-0004,2c9ceab111353665aa0d58d309c33bb68dbfb053c504a374668248cbe2edc96d,2258,4,app-captain | app-client | app-field | app-partner,apps/app-captain/runtime/metro.config.cjs | apps/app-client/runtime/metro.config.cjs | apps/app-field/runtime/metro.config.cjs | apps/app-partner/runtime/metro.config.cjs,CLASSIFY_INTENTIONAL_GENERATED_RUNTIME_OR_MANUAL_DUPLICATE
DUP-0005,43f5bbcc11ef16aeac3b32e4eab0a069a19befc258a5a56aa5b6d32d738d4164,1621,4,app-captain | app-client | app-field | app-partner,apps/app-captain/runtime/src/config/sentry-config.ts | apps/app-client/runtime/src/config/sentry-config.ts | apps/app-field/runtime/src/config/sentry-config.ts | apps/app-partner/runtime/src/config/sentry-config.ts,CLASSIFY_INTENTIONAL_GENERATED_RUNTIME_OR_MANUAL_DUPLICATE
DUP-0006,1c7259ebfb3596e171e71bda4f1592c65aa36e352ebf35162462ac35c9589039,638,4,app-captain | app-client | app-field | app-partner,apps/app-captain/runtime/.env.example | apps/app-client/runtime/.env.example | apps/app-field/runtime/.env.example | apps/app-partner/runtime/.env.example,CLASSIFY_INTENTIONAL_GENERATED_RUNTIME_OR_MANUAL_DUPLICATE
DUP-0007,3ea96ed535e28e1da112d17399461fd97d697ecf3ad47077dfc7ad8067e6c57b,268,4,app-captain | app-client | app-field | app-partner,apps/app-captain/runtime/start.ps1 | apps/app-client/runtime/start.ps1 | apps/app-field/runtime/start.ps1 | apps/app-partner/runtime/start.ps1,CLASSIFY_INTENTIONAL_GENERATED_RUNTIME_OR_MANUAL_DUPLICATE
DUP-0008,cde68f6236a64506d23193e55a1bb11cedb3788be467481d52521e756bf600c7,170,4,app-captain | app-client | app-field | app-partner,apps/app-captain/runtime/.easignore | apps/app-client/runtime/.easignore | apps/app-field/runtime/.easignore | apps/app-partner/runtime/.easignore,CLASSIFY_INTENTIONAL_GENERATED_RUNTIME_OR_MANUAL_DUPLICATE
DUP-0009,98d99b5d87c3448b610778614eb44208ac12606929b556d11c731b8bb434d835,165,4,identity | platform-control | providers | workforce,core/identity/tsconfig.json | core/platform-control/tsconfig.json | core/providers/tsconfig.json | core/workforce/tsconfig.json,CLASSIFY_INTENTIONAL_GENERATED_RUNTIME_OR_MANUAL_DUPLICATE
DUP-0010,c53dd01640f9a6190b5f09402f13d0ec5f199b2a6a3f673bb885ed308593e955,155,4,platform-control | providers | wlt | workforce,core/platform-control/backend/go.sum | core/providers/backend/go.sum | core/workforce/backend/go.sum | services/wlt/backend/go.sum,CLASSIFY_INTENTIONAL_GENERATED_RUNTIME_OR_MANUAL_DUPLICATE
