journey_id,group,path,owner,dependencies,surfaces,assessment_status,closure_status,execution_state,baseline_sha
J001,01-identity-workforce-platform-providers,governance/operational_journey_protocol_package/smsm-dsh-wlt-journeys/01-identity-workforce-platform-providers/J001.md,Identity,[FOUNDATION-00],"[control-panel, app-client, app-partner, app-captain, app-field]",NOT_ASSESSED,OPEN,BLOCKED_BY_FOUNDATION,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
J002,01-identity-workforce-platform-providers,governance/operational_journey_protocol_package/smsm-dsh-wlt-journeys/01-identity-workforce-platform-providers/J002.md,Identity,"[FOUNDATION-00, J001]","[control-panel, app-client, app-partner, app-captain, app-field]",NOT_ASSESSED,OPEN,BLOCKED_BY_FOUNDATION,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
J003,01-identity-workforce-platform-providers,governance/operational_journey_protocol_package/smsm-dsh-wlt-journeys/01-identity-workforce-platform-providers/J003.md,Identity,"[FOUNDATION-00, J002]","[control-panel, app-client, app-partner, app-captain, app-field]",NOT_ASSESSED,OPEN,BLOCKED_BY_FOUNDATION,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
J004,01-identity-workforce-platform-providers,governance/operational_journey_protocol_package/smsm-dsh-wlt-journeys/01-identity-workforce-platform-providers/J004.md,Identity,"[FOUNDATION-00, J003]","[control-panel, app-partner, app-captain, app-field]",NOT_ASSESSED,OPEN,BLOCKED_BY_FOUNDATION,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
J005,01-identity-workforce-platform-providers,governance/operational_journey_protocol_package/smsm-dsh-wlt-journeys/01-identity-workforce-platform-providers/J005.md,Identity,"[FOUNDATION-00, J004]","[app-client, app-partner, app-captain, app-field, control-panel]",NOT_ASSESSED,OPEN,BLOCKED_BY_FOUNDATION,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
J006,01-identity-workforce-platform-providers,governance/operational_journey_protocol_package/smsm-dsh-wlt-journeys/01-identity-workforce-platform-providers/J006.md,Identity,"[FOUNDATION-00, J005]","[control-panel, app-client, app-partner, app-captain, app-field]",NOT_ASSESSED,OPEN,BLOCKED_BY_FOUNDATION,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
J007,01-identity-workforce-platform-providers,governance/operational_journey_protocol_package/smsm-dsh-wlt-journeys/01-identity-workforce-platform-providers/J007.md,"[Identity, Notifications]","[FOUNDATION-00, J006]","[app-client, app-partner, app-captain, app-field, control-panel]",NOT_ASSESSED,OPEN,BLOCKED_BY_FOUNDATION,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
J008,01-identity-workforce-platform-providers,governance/operational_journey_protocol_package/smsm-dsh-wlt-journeys/01-identity-workforce-platform-providers/J008.md,Identity,"[FOUNDATION-00, J007]","[control-panel, app-partner, app-captain, app-field, app-client]",NOT_ASSESSED,OPEN,BLOCKED_BY_FOUNDATION,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
J009,01-identity-workforce-platform-providers,governance/operational_journey_protocol_package/smsm-dsh-wlt-journeys/01-identity-workforce-platform-providers/J009.md,"[Identity, Workforce, DSH, WLT]","[FOUNDATION-00, J008]","[control-panel, app-client, app-partner, app-captain, app-field]",NOT_ASSESSED,OPEN,BLOCKED_BY_FOUNDATION,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
J010,01-identity-workforce-platform-providers,governance/operational_journey_protocol_package/smsm-dsh-wlt-journeys/01-identity-workforce-platform-providers/J010.md,Workforce,"[FOUNDATION-00, J009]","[control-panel, app-partner, app-captain, app-field]",NOT_ASSESSED,OPEN,BLOCKED_BY_FOUNDATION,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
J011,01-identity-workforce-platform-providers,governance/operational_journey_protocol_package/smsm-dsh-wlt-journeys/01-identity-workforce-platform-providers/J011.md,"[Workforce, Identity]","[FOUNDATION-00, J010]","[control-panel, app-partner, app-captain, app-field]",NOT_ASSESSED,OPEN,BLOCKED_BY_FOUNDATION,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
J012,01-identity-workforce-platform-providers,governance/operational_journey_protocol_package/smsm-dsh-wlt-journeys/01-identity-workforce-platform-providers/J012.md,"[Workforce, DSH, WLT]","[FOUNDATION-00, J011]","[control-panel, app-captain]",NOT_ASSESSED,OPEN,BLOCKED_BY_FOUNDATION,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
J013,01-identity-workforce-platform-providers,governance/operational_journey_protocol_package/smsm-dsh-wlt-journeys/01-identity-workforce-platform-providers/J013.md,"[Workforce, DSH]","[FOUNDATION-00, J012]","[control-panel, app-field]",NOT_ASSESSED,OPEN,BLOCKED_BY_FOUNDATION,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
J014,01-identity-workforce-platform-providers,governance/operational_journey_protocol_package/smsm-dsh-wlt-journeys/01-identity-workforce-platform-providers/J014.md,Workforce,"[FOUNDATION-00, J013]","[control-panel, app-partner, app-captain, app-field]",NOT_ASSESSED,OPEN,BLOCKED_BY_FOUNDATION,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
J015,01-identity-workforce-platform-providers,governance/operational_journey_protocol_package/smsm-dsh-wlt-journeys/01-identity-workforce-platform-providers/J015.md,Platform Control,"[FOUNDATION-00, J014]","[control-panel, app-client, app-partner, app-captain, app-field]",NOT_ASSESSED,OPEN,BLOCKED_BY_FOUNDATION,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
J016,01-identity-workforce-platform-providers,governance/operational_journey_protocol_package/smsm-dsh-wlt-journeys/01-identity-workforce-platform-providers/J016.md,Platform Control,"[FOUNDATION-00, J015]","[control-panel, app-client, app-partner, app-captain, app-field]",NOT_ASSESSED,OPEN,BLOCKED_BY_FOUNDATION,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
J017,01-identity-workforce-platform-providers,governance/operational_journey_protocol_package/smsm-dsh-wlt-journeys/01-identity-workforce-platform-providers/J017.md,"[Platform Control, DSH, WLT]","[FOUNDATION-00, J016]","[control-panel, app-client, app-partner, app-captain, app-field]",NOT_ASSESSED,OPEN,BLOCKED_BY_FOUNDATION,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
J018,01-identity-workforce-platform-providers,governance/operational_journey_protocol_package/smsm-dsh-wlt-journeys/01-identity-workforce-platform-providers/J018.md,Providers,"[FOUNDATION-00, J017]","[control-panel, app-client, app-partner, app-captain, app-field]",NOT_ASSESSED,OPEN,BLOCKED_BY_FOUNDATION,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
J019,01-identity-workforce-platform-providers,governance/operational_journey_protocol_package/smsm-dsh-wlt-journeys/01-identity-workforce-platform-providers/J019.md,Providers,"[FOUNDATION-00, J018]","[control-panel, app-client, app-partner, app-captain, app-field]",NOT_ASSESSED,OPEN,BLOCKED_BY_FOUNDATION,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
J020,02-partner-store-catalog-marketing,governance/operational_journey_protocol_package/smsm-dsh-wlt-journeys/02-partner-store-catalog-marketing/J020.md,DSH,"[FOUNDATION-00, J019]","[control-panel, app-field, app-partner]",NOT_ASSESSED,OPEN,BLOCKED_BY_FOUNDATION,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
J021,02-partner-store-catalog-marketing,governance/operational_journey_protocol_package/smsm-dsh-wlt-journeys/02-partner-store-catalog-marketing/J021.md,DSH,"[FOUNDATION-00, J020]","[control-panel, app-field, app-partner]",NOT_ASSESSED,OPEN,BLOCKED_BY_FOUNDATION,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
J022,02-partner-store-catalog-marketing,governance/operational_journey_protocol_package/smsm-dsh-wlt-journeys/02-partner-store-catalog-marketing/J022.md,"[DSH, Identity, Workforce]","[FOUNDATION-00, J021]","[app-partner, control-panel]",NOT_ASSESSED,OPEN,BLOCKED_BY_FOUNDATION,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
J023,02-partner-store-catalog-marketing,governance/operational_journey_protocol_package/smsm-dsh-wlt-journeys/02-partner-store-catalog-marketing/J023.md,"[DSH, WLT]","[FOUNDATION-00, J022]","[control-panel, app-partner]",NOT_ASSESSED,OPEN,BLOCKED_BY_FOUNDATION,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
J024,02-partner-store-catalog-marketing,governance/operational_journey_protocol_package/smsm-dsh-wlt-journeys/02-partner-store-catalog-marketing/J024.md,DSH,"[FOUNDATION-00, J023]","[control-panel, app-partner, app-field]",NOT_ASSESSED,OPEN,BLOCKED_BY_FOUNDATION,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
J025,02-partner-store-catalog-marketing,governance/operational_journey_protocol_package/smsm-dsh-wlt-journeys/02-partner-store-catalog-marketing/J025.md,DSH,"[FOUNDATION-00, J024]","[control-panel, app-partner, app-field, app-client]",NOT_ASSESSED,OPEN,BLOCKED_BY_FOUNDATION,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
J026,02-partner-store-catalog-marketing,governance/operational_journey_protocol_package/smsm-dsh-wlt-journeys/02-partner-store-catalog-marketing/J026.md,"[DSH, Providers]","[FOUNDATION-00, J025]","[control-panel, app-partner, app-field, app-client]",NOT_ASSESSED,OPEN,BLOCKED_BY_FOUNDATION,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
