path,owner,classification,lines,bytes,sha256,decision
pnpm-lock.yaml,repository,CONFIG,15542,781533,b1a808ab221fd6b9110bc5abe578fc5300384fe9ec8968cf4659bebe1f829198,HOTSPOT_REVIEW_NOT_AUTOMATIC_DELETE
tools/BThwani-unified-execution-command-final-authoritative.md,tools,TOOLING,4700,158188,db15774ba3b67fa0995c7ad7f33b69fdadf536581e311bb572e02fc34f0248d2,HOTSPOT_REVIEW_NOT_AUTOMATIC_DELETE
governance/policies/RADICAL_REMEDIATION_EXECUTION_POLICY.md,governance,GOVERNANCE,4523,154962,c1e7f599369fa8ed51bc3ac8f7b10fe62949028f3abb6771fab48102ceea169b,HOTSPOT_REVIEW_NOT_AUTOMATIC_DELETE
services/dsh/backend/internal/centralcatalog/centralcatalog.go,dsh,SOURCE,2662,110694,93d2da70185e557b974883a235572fae37b409beb815c57d9af60fd0ec8f09fe,HOTSPOT_REVIEW_NOT_AUTOMATIC_DELETE
services/dsh/frontend/control-panel/shared/control-panel-surface.module.css,dsh,OTHER,2171,45763,73ad52938d3c73d97b7a9e658037df4bf9ed7fee8c803ee8a1330b9b85979e3c,HOTSPOT_REVIEW_NOT_AUTOMATIC_DELETE
shared/ui-kit/src/web/control-surface.tsx,repository,SOURCE,1866,53706,09a623b5e626343011e596efe2e411650845b224b1abbb9b4d0b2b37fa60003b,HOTSPOT_REVIEW_NOT_AUTOMATIC_DELETE
core/workforce/contracts/workforce.openapi.yaml,workforce,CONTRACT,1604,47673,99fdf76d382434516e2ae33a32162a5a677661af8f96729e8cdae68dfccdfacd,HOTSPOT_REVIEW_NOT_AUTOMATIC_DELETE
services/dsh/contracts/paths/partner.paths.yaml,dsh,CONTRACT,1548,57423,1ec10b8b29a257a0295c5710ed8bcd329e58fa06914a9b0521935a7158f7f721,HOTSPOT_REVIEW_NOT_AUTOMATIC_DELETE
services/dsh/contracts/dsh.openapi.yaml,dsh,CONTRACT,1409,87242,9d12f3e1b72782db8585cb94bea3f4feba97a565b570abc7e67709cd146c636d,HOTSPOT_REVIEW_NOT_AUTOMATIC_DELETE
services/dsh/database/migrations/manifest.json,dsh,MIGRATION,1381,48519,fdcfeb324dad58105a8d41b20e89b6131a5fce0f4cab40ca012c26348961eac6,HOTSPOT_REVIEW_NOT_AUTOMATIC_DELETE
services/dsh/frontend/shared/orders/orders.state-machine.ts,dsh,SOURCE,1319,57478,53f14afdf9653fc288aeef519e67fc873fae76b7e2068f4217f0072dbf307855,HOTSPOT_REVIEW_NOT_AUTOMATIC_DELETE
shared/ui-kit/src/web/command-center.tsx,repository,SOURCE,1296,38363,d05110f7a110ed1e4652014edb3650db9689caa63b9d61a88b24dcf8a785eebb,HOTSPOT_REVIEW_NOT_AUTOMATIC_DELETE
services/dsh/frontend/shared/operations/dsh-operational-registry.ts,dsh,SOURCE,1259,55201,20754747dc27ec5008689b3062bd0f48f84e453c6e5cfe6c4bc5af746bccb9d8,HOTSPOT_REVIEW_NOT_AUTOMATIC_DELETE
core/identity/backend/internal/identity/repository.go,identity,SOURCE,1211,41925,4d0418358ad0bd1c8611ef4bac755acf27afe69da0f9797a8eebda7a041f48f9,HOTSPOT_REVIEW_NOT_AUTOMATIC_DELETE
services/dsh/contracts/paths/catalog.paths.yaml,dsh,CONTRACT,1197,42535,7e3d00ea7534171b8d721d89c8728beddf43ee55a15632a2b9d7eae3e4224e21,HOTSPOT_REVIEW_NOT_AUTOMATIC_DELETE
services/dsh/backend/internal/partner/repository.go,dsh,SOURCE,1177,40274,d15e7f114da1ef336fa77ebf3e9a3b5d00407aaa71eeec9f3f17a2683b85762f,HOTSPOT_REVIEW_NOT_AUTOMATIC_DELETE
services/dsh/contracts/dsh.catalog.openapi.yaml,dsh,CONTRACT,1177,57926,fa56594158854b71812cdeaab2824e9fcbe1c5c668d8c89629741cc5c8742385,HOTSPOT_REVIEW_NOT_AUTOMATIC_DELETE
tools/guards/dsh-route-declaration-allowlist.json,tools,TOOLING,1175,97329,047e06172e9bcbb257cde877d7fccb3ec35d50081ebf1925246272fc55960bcc,HOTSPOT_REVIEW_NOT_AUTOMATIC_DELETE
services/dsh/contracts/paths/misc.paths.yaml,dsh,CONTRACT,1087,38382,3ace76164fcea54ecc45551851ca5e00765fc7a50f608066d7e42dac7699796b,HOTSPOT_REVIEW_NOT_AUTOMATIC_DELETE
services/dsh/frontend/control-panel/catalogs/CatalogDashboardScreen.tsx,dsh,SOURCE,1078,54571,207e5607b752c5fcd524669a0cdaca0c91a133db8baa2ee618a5785cfe1d86e7,HOTSPOT_REVIEW_NOT_AUTOMATIC_DELETE
shared/ui-kit/src/foundation.ts,repository,SOURCE,1069,35260,d9b365f2c204e76c8cfd0012ef13e24176fbbc635d119c7a87372fadabf8d677,HOTSPOT_REVIEW_NOT_AUTOMATIC_DELETE
services/dsh/contracts/components/schemas/common.schemas.yaml,dsh,CONTRACT,1062,32976,0773a6129e9ffcff99bee6d798d1529b55e476f8d885857072bd9a283c9d6b28,HOTSPOT_REVIEW_NOT_AUTOMATIC_DELETE
services/dsh/frontend/shared/orders/orders.contract.ts,dsh,SOURCE,1058,48992,56c948cc5a328d27a7e447cbf77dfa978f305931aed9bf82e0b96d996ceb5035,HOTSPOT_REVIEW_NOT_AUTOMATIC_DELETE
core/identity/contracts/identity.openapi.yaml,identity,CONTRACT,1025,30283,724edcb788a2a5b4cfccce12db81b12d11b34024075c565462438af18e397831,HOTSPOT_REVIEW_NOT_AUTOMATIC_DELETE
services/dsh/backend/internal/dispatch/assignment_governance.go,dsh,SOURCE,1023,39575,252de2de63150c9985069c9c86daa9e23780c3a39a9e89c3ace8ae196e2ebbde,HOTSPOT_REVIEW_NOT_AUTOMATIC_DELETE
shared/ui-kit/src/appearance.ts,repository,SOURCE,986,38723,777ce38530d9d233e6c50d18aea6be3e8297031201a61b0406a5b7159f804d69,HOTSPOT_REVIEW_NOT_AUTOMATIC_DELETE
services/dsh/backend/internal/specialrequests/specialrequests_db_test.go,dsh,SOURCE,928,32218,ccb6e2caae5c3368627cdcf0d4031cba4e232411d65ac46847782465357084cc,HOTSPOT_REVIEW_NOT_AUTOMATIC_DELETE
services/dsh/contracts/paths/field.paths.yaml,dsh,CONTRACT,903,33126,1950503000bb776fed243e10a51a9b0640230bb7d10ad993213871a576c1851b,HOTSPOT_REVIEW_NOT_AUTOMATIC_DELETE
services/dsh/backend/internal/dispatch/delivery_exceptions.go,dsh,SOURCE,884,35146,e2a4623748e83a5b036356ffcbeac338ebfdaa9363c385b4fc42940a71132cae,HOTSPOT_REVIEW_NOT_AUTOMATIC_DELETE
services/wlt/backend/internal/cod/cod.go,wlt,SOURCE,875,31768,07188c96b98daa934a964b5f9d65ff66b3a8a1193ce782b2c5c1071c36b0b225,HOTSPOT_REVIEW_NOT_AUTOMATIC_DELETE
services/dsh/backend/internal/platformpolicies/policies.go,dsh,SOURCE,843,20162,310e4eeb9d649bee1eebb564dc3889ba97c8f16440767e39ad073cfe7b2279d7,HOTSPOT_REVIEW_NOT_AUTOMATIC_DELETE
core/workforce/backend/internal/workforce/repository.go,workforce,SOURCE,822,29544,1e4b7b5028f0c1c53945206f05d95d3a6bedbd8afccdc6bf8ae358d562fcbe93,HOTSPOT_REVIEW_NOT_AUTOMATIC_DELETE
services/dsh/frontend/shared/catalog/central-catalog.api.ts,dsh,SOURCE,821,32675,c2107138a05f989d4a95993f6a73a74e91e77bd03e69591dc18700cd9be9ead8,HOTSPOT_REVIEW_NOT_AUTOMATIC_DELETE
services/wlt/backend/internal/refund/governed_refund.go,wlt,SOURCE,810,34390,9de88b42d528260e62e375c706706f681abcb0eb3270d9da606917f805aa283a,HOTSPOT_REVIEW_NOT_AUTOMATIC_DELETE
services/wlt/backend/internal/commercial/subscription_lifecycle.go,wlt,SOURCE,808,29789,f7fa0e5200962c569ebdb4773d444e6ccf79e4a372867111dcae97e8246a96c4,HOTSPOT_REVIEW_NOT_AUTOMATIC_DELETE
tools/scripts/sentry-final.ps1,tools,TOOLING,795,29754,d55135cd1ea88975d52235be0f65fb37ea260128ada27da6ffbe28fa77fc49ab,HOTSPOT_REVIEW_NOT_AUTOMATIC_DELETE
services/dsh/contracts/dsh.administration.openapi.yaml,dsh,CONTRACT,778,27315,7891a1247ba89311cc85f1f70e32b17c96d7ad4586f92031b3c9f8df765f708b,HOTSPOT_REVIEW_NOT_AUTOMATIC_DELETE
services/dsh/backend/internal/dispatch/delivery_proof.go,dsh,SOURCE,776,26247,2c9fd417c26e2b55332a92a32dbcdae367fc8788a3d42fdf0019a75c5928241e,HOTSPOT_REVIEW_NOT_AUTOMATIC_DELETE
services/dsh/backend/internal/fieldreadiness/fieldreadiness.go,dsh,SOURCE,775,26621,936acaf140fb5c00657c7f7de3304cd32139905db177c39b9f9c7f8e7d37b6c8,HOTSPOT_REVIEW_NOT_AUTOMATIC_DELETE
services/dsh/frontend/app-partner/account/PartnerHubScreen.tsx,dsh,SOURCE,766,24633,28f0513208e6e375a36af4b9d3de81709a6210e718bc2092362532214d02e9ba,HOTSPOT_REVIEW_NOT_AUTOMATIC_DELETE
core/workforce/backend/internal/workforce/service.go,workforce,SOURCE,758,26868,9b169b1f0cae2aa6fe857b323b0242a9e4c067bff7914a8ef21a0a14e65c3dd8,HOTSPOT_REVIEW_NOT_AUTOMATIC_DELETE
services/wlt/backend/internal/cod/commission_governance.go,wlt,SOURCE,754,23106,e69baf162fa839991437f805195499874c2ce78f653cdac7dd330aca97f7a4f3,HOTSPOT_REVIEW_NOT_AUTOMATIC_DELETE
