package_path,package_name,script,command,owner
apps/app-captain/runtime/package.json,@bthwani/app-captain-runtime,typecheck,tsc --noEmit -p tsconfig.json,app-captain
apps/app-captain/runtime/package.json,@bthwani/app-captain-runtime,lint,node ../../mobile/verify-mobile-source.mjs --app app-captain,app-captain
apps/app-captain/runtime/package.json,@bthwani/app-captain-runtime,test,node ../../mobile/test-mobile-runtime-contract.mjs --app app-captain,app-captain
apps/app-captain/runtime/package.json,@bthwani/app-captain-runtime,build,node ../../mobile/verify-mobile-export.mjs --app app-captain,app-captain
apps/app-captain/runtime/package.json,@bthwani/app-captain-runtime,eas-build-pre-install,node ../../mobile/verify-eas-provider-inputs.mjs --app app-captain,app-captain
apps/app-client/runtime/package.json,@bthwani/app-client-runtime,typecheck,tsc --noEmit -p tsconfig.json,app-client
apps/app-client/runtime/package.json,@bthwani/app-client-runtime,lint,node ../../mobile/verify-mobile-source.mjs --app app-client,app-client
apps/app-client/runtime/package.json,@bthwani/app-client-runtime,test,node --test tests/*.test.mjs && node ../../mobile/test-mobile-runtime-contract.mjs --app app-client,app-client
apps/app-client/runtime/package.json,@bthwani/app-client-runtime,build,node ../../mobile/verify-mobile-export.mjs --app app-client,app-client
apps/app-client/runtime/package.json,@bthwani/app-client-runtime,eas-build-pre-install,node ../../mobile/verify-eas-provider-inputs.mjs --app app-client,app-client
apps/app-field/runtime/package.json,@bthwani/app-field-runtime,typecheck,tsc --noEmit -p tsconfig.json,app-field
apps/app-field/runtime/package.json,@bthwani/app-field-runtime,lint,node ../../mobile/verify-mobile-source.mjs --app app-field,app-field
apps/app-field/runtime/package.json,@bthwani/app-field-runtime,test,node ../../mobile/test-mobile-runtime-contract.mjs --app app-field,app-field
apps/app-field/runtime/package.json,@bthwani/app-field-runtime,build,node ../../mobile/verify-mobile-export.mjs --app app-field,app-field
apps/app-field/runtime/package.json,@bthwani/app-field-runtime,eas-build-pre-install,node ../../mobile/verify-eas-provider-inputs.mjs --app app-field,app-field
apps/app-partner/runtime/package.json,@bthwani/app-partner-runtime,typecheck,tsc --noEmit -p tsconfig.json,app-partner
apps/app-partner/runtime/package.json,@bthwani/app-partner-runtime,lint,node ../../mobile/verify-mobile-source.mjs --app app-partner,app-partner
apps/app-partner/runtime/package.json,@bthwani/app-partner-runtime,test,node ../../mobile/test-mobile-runtime-contract.mjs --app app-partner,app-partner
apps/app-partner/runtime/package.json,@bthwani/app-partner-runtime,build,node ../../mobile/verify-mobile-export.mjs --app app-partner,app-partner
apps/app-partner/runtime/package.json,@bthwani/app-partner-runtime,eas-build-pre-install,node ../../mobile/verify-eas-provider-inputs.mjs --app app-partner,app-partner
apps/control-panel/runtime/package.json,@bthwani/control-panel-runtime,typecheck,next typegen && tsc --noEmit -p tsconfig.json,control-panel
apps/control-panel/runtime/package.json,@bthwani/control-panel-runtime,dev,next dev --port 13000,control-panel
apps/control-panel/runtime/package.json,@bthwani/control-panel-runtime,build,next build,control-panel
apps/control-panel/runtime/package.json,@bthwani/control-panel-runtime,lint,pnpm --dir ../../.. run guard:ui-kit-boundary,control-panel
apps/control-panel/runtime/package.json,@bthwani/control-panel-runtime,test,node --test tests/*.test.mjs,control-panel
contracts/package.json,@bthwani/contracts,foundation,pnpm run typecheck,contracts
contracts/package.json,@bthwani/contracts,typecheck,node ../tools/important-scripts/contracts-typecheck.mjs && node ../tools/important-scripts/contracts-foundation.mjs && node ../tools/guards/generated-client-provenance-gate.mjs && node ../tools/guards/control-panel-architecture-gate.mjs && node ../tools/guards/service-workspace-gate.mjs,contracts
contracts/package.json,@bthwani/contracts,build,pnpm run typecheck,contracts
contracts/package.json,@bthwani/contracts,test,node ../tools/important-scripts/contracts-foundation.mjs && node ../tools/guards/generated-client-provenance-gate.mjs,contracts
contracts/package.json,@bthwani/contracts,lint,pnpm run typecheck && node ../tools/guards/api-binding-gate.mjs && node ../tools/guards/backend-api-binding-gate.mjs && node ../tools/guards/service-manifest-drift-gate.mjs,contracts
core/identity/package.json,@bthwani/core-identity,openapi:compose,node ../../tools/scripts/compose-openapi-context.mjs identity,identity
core/identity/package.json,@bthwani/core-identity,openapi:generate,pnpm run openapi:compose && pnpm exec openapi-typescript contracts/generated/identity.bundle.openapi.yaml -o clients/generated/identity-api.ts,identity
