surface,path,line,control_kind,snippet,binding_state
app-captain,services/dsh/frontend/app-captain/DshCaptainRouteRenderer.tsx,246,Button,"<Button label=""فتح صندوق الطلبات"" tone=""secondary"" fullWidth={false} onPress={onGoToInbox} />",REQUIRES_ACTION_PERMISSION_API_AND_STATE_PROOF
app-captain,services/dsh/frontend/app-captain/DshCaptainRouteRenderer.tsx,246,onPress,"<Button label=""فتح صندوق الطلبات"" tone=""secondary"" fullWidth={false} onPress={onGoToInbox} />",REQUIRES_ACTION_PERMISSION_API_AND_STATE_PROOF
app-captain,services/dsh/frontend/app-captain/DshCaptainRouteRenderer.tsx,341,onPress,<Box gap={0}>{captainAccountNavItems.map((item) => <CaptainAccountNavRow key={item.title} title={item.title} subtitle={item.subtitle} badgeLabel={item.badgeLabel} icon={item.icon} onPress={item.onPress} />)}</Box>,REQUIRES_ACTION_PERMISSION_API_AND_STATE_PROOF
app-captain,services/dsh/frontend/app-captain/DshOperationScreen.tsx,70,Button,{primaryActionLabel ? <Button label={primaryActionLabel} onPress={onPrimaryAction} disabled={primaryActionDisabled} loading={primaryActionLoading} accessibilityLabel={`تأكيد: ${primaryActionLabel}`} /> : null},REQUIRES_ACTION_PERMISSION_API_AND_STATE_PROOF
app-captain,services/dsh/frontend/app-captain/DshOperationScreen.tsx,70,onPress,{primaryActionLabel ? <Button label={primaryActionLabel} onPress={onPrimaryAction} disabled={primaryActionDisabled} loading={primaryActionLoading} accessibilityLabel={`تأكيد: ${primaryActionLabel}`} /> : null},REQUIRES_ACTION_PERMISSION_API_AND_STATE_PROOF
app-captain,services/dsh/frontend/app-captain/DshOperationScreen.tsx,71,Button,"{secondaryActionLabel ? <Button label={secondaryActionLabel} tone=""secondary"" onPress={onSecondaryAction} accessibilityLabel={`إجراء ثانوي: ${secondaryActionLabel}`} /> : null}",REQUIRES_ACTION_PERMISSION_API_AND_STATE_PROOF
app-captain,services/dsh/frontend/app-captain/DshOperationScreen.tsx,71,onPress,"{secondaryActionLabel ? <Button label={secondaryActionLabel} tone=""secondary"" onPress={onSecondaryAction} accessibilityLabel={`إجراء ثانوي: ${secondaryActionLabel}`} /> : null}",REQUIRES_ACTION_PERMISSION_API_AND_STATE_PROOF
app-captain,services/dsh/frontend/app-captain/DshOperationScreen.tsx,72,Button,"{tertiaryActionLabel ? <Button label={tertiaryActionLabel} tone=""ghost"" onPress={onTertiaryAction} accessibilityLabel={`إجراء إضافي: ${tertiaryActionLabel}`} /> : null}",REQUIRES_ACTION_PERMISSION_API_AND_STATE_PROOF
app-captain,services/dsh/frontend/app-captain/DshOperationScreen.tsx,72,onPress,"{tertiaryActionLabel ? <Button label={tertiaryActionLabel} tone=""ghost"" onPress={onTertiaryAction} accessibilityLabel={`إجراء إضافي: ${tertiaryActionLabel}`} /> : null}",REQUIRES_ACTION_PERMISSION_API_AND_STATE_PROOF
app-captain,services/dsh/frontend/app-captain/account/CaptainAccountNavRow.tsx,20,Pressable,<Pressable,REQUIRES_ACTION_PERMISSION_API_AND_STATE_PROOF
