surface,path,line,control_kind,snippet,binding_state
app-client,apps/app-client/runtime/src/shell/AppHeader.tsx,39,Pressable,<Pressable,REQUIRES_ACTION_PERMISSION_API_AND_STATE_PROOF
app-client,apps/app-client/runtime/src/shell/AppHeader.tsx,40,onPress,onPress={onPress},REQUIRES_ACTION_PERMISSION_API_AND_STATE_PROOF
app-client,apps/app-client/runtime/src/shell/AppHeader.tsx,54,Pressable,<Pressable,REQUIRES_ACTION_PERMISSION_API_AND_STATE_PROOF
app-client,apps/app-client/runtime/src/shell/AppHeader.tsx,55,onPress,onPress={action.onPress},REQUIRES_ACTION_PERMISSION_API_AND_STATE_PROOF
app-client,apps/app-client/runtime/src/shell/AppHeader.tsx,95,Pressable,<Pressable,REQUIRES_ACTION_PERMISSION_API_AND_STATE_PROOF
app-client,apps/app-client/runtime/src/shell/AppHeader.tsx,96,onPress,onPress={onLocationPress},REQUIRES_ACTION_PERMISSION_API_AND_STATE_PROOF
app-client,apps/app-client/runtime/src/shell/BottomNavBar.tsx,41,Pressable,<Pressable,REQUIRES_ACTION_PERMISSION_API_AND_STATE_PROOF
app-client,apps/app-client/runtime/src/shell/BottomNavBar.tsx,42,onPress,onPress={onPress},REQUIRES_ACTION_PERMISSION_API_AND_STATE_PROOF
app-client,apps/app-client/runtime/src/shell/BottomNavBar.tsx,91,onPress,onPress={() => onSelect(item.id)},REQUIRES_ACTION_PERMISSION_API_AND_STATE_PROOF
app-client,apps/app-client/runtime/src/shell/BottomNavBar.tsx,95,Pressable,<Pressable onPress={onLauncherPress} style={styles.launcherLabelArea}>,REQUIRES_ACTION_PERMISSION_API_AND_STATE_PROOF
app-client,apps/app-client/runtime/src/shell/BottomNavBar.tsx,95,onPress,<Pressable onPress={onLauncherPress} style={styles.launcherLabelArea}>,REQUIRES_ACTION_PERMISSION_API_AND_STATE_PROOF
app-client,apps/app-client/runtime/src/shell/BottomNavBar.tsx,104,onPress,onPress={() => onSelect(item.id)},REQUIRES_ACTION_PERMISSION_API_AND_STATE_PROOF
