surface,path,line,control_kind,snippet,binding_state
app-field,services/dsh/frontend/app-field/account/DshFieldProfileCompletionScreen.tsx,103,onValueChange,"onValueChange={(value) => setPreferredLanguage(value === ""en"" ? ""en"" : ""ar"")}",REQUIRES_ACTION_PERMISSION_API_AND_STATE_PROOF
app-field,services/dsh/frontend/app-field/account/DshFieldProfileCompletionScreen.tsx,107,Pressable,<Pressable,REQUIRES_ACTION_PERMISSION_API_AND_STATE_PROOF
app-field,services/dsh/frontend/app-field/account/DshFieldProfileCompletionScreen.tsx,110,onPress,onPress={() => setPolicyConsent((value) => !value)},REQUIRES_ACTION_PERMISSION_API_AND_STATE_PROOF
app-field,services/dsh/frontend/app-field/account/DshFieldProfileCompletionScreen.tsx,121,Button,<Button,REQUIRES_ACTION_PERMISSION_API_AND_STATE_PROOF
app-field,services/dsh/frontend/app-field/account/DshFieldProfileCompletionScreen.tsx,124,onPress,onPress={() => void submit()},REQUIRES_ACTION_PERMISSION_API_AND_STATE_PROOF
app-field,services/dsh/frontend/app-field/account/DshFieldProfileCompletionScreen.tsx,126,Button,"<Button label=""تسجيل الخروج"" tone=""secondary"" onPress={onLogout} />",REQUIRES_ACTION_PERMISSION_API_AND_STATE_PROOF
app-field,services/dsh/frontend/app-field/account/DshFieldProfileCompletionScreen.tsx,126,onPress,"<Button label=""تسجيل الخروج"" tone=""secondary"" onPress={onLogout} />",REQUIRES_ACTION_PERMISSION_API_AND_STATE_PROOF
app-field,services/dsh/frontend/app-field/account/DshFieldProfileHomeScreen.tsx,67,Button,"<Button label=""تسجيل الخروج"" tone=""secondary"" onPress={onLogout} />",REQUIRES_ACTION_PERMISSION_API_AND_STATE_PROOF
app-field,services/dsh/frontend/app-field/account/DshFieldProfileHomeScreen.tsx,67,onPress,"<Button label=""تسجيل الخروج"" tone=""secondary"" onPress={onLogout} />",REQUIRES_ACTION_PERMISSION_API_AND_STATE_PROOF
app-field,services/dsh/frontend/app-field/account/DshFieldProfileHomeScreen.tsx,132,onPress,"<MenuRow title=""بيانات الميداني"" subtitle=""الهوية، منطقة التغطية، والتوفر."" onPress={onOpenProfile} />",REQUIRES_ACTION_PERMISSION_API_AND_STATE_PROOF
app-field,services/dsh/frontend/app-field/account/DshFieldProfileHomeScreen.tsx,133,onPress,"<MenuRow title=""استكمال الملف الشخصي"" subtitle=""جهة اتصال الطوارئ، اللغة، والموافقة على السياسة."" onPress={onOpenProfileCompletion} />",REQUIRES_ACTION_PERMISSION_API_AND_STATE_PROOF
app-field,services/dsh/frontend/app-field/account/DshFieldProfileHomeScreen.tsx,134,onPress,"<MenuRow title=""السجل"" subtitle=""آخر حالة لكل متجر والتقدم المرتبط به."" onPress={onOpenHistory} />",REQUIRES_ACTION_PERMISSION_API_AND_STATE_PROOF
