surface,path,line,control_kind,snippet,binding_state
app-partner,services/dsh/frontend/app-partner/DshPartnerSurface.tsx,145,Pressable,<Pressable onPress={() => openAccountHub('profile')} style={styles.profileButton}>,REQUIRES_ACTION_PERMISSION_API_AND_STATE_PROOF
app-partner,services/dsh/frontend/app-partner/DshPartnerSurface.tsx,145,onPress,<Pressable onPress={() => openAccountHub('profile')} style={styles.profileButton}>,REQUIRES_ACTION_PERMISSION_API_AND_STATE_PROOF
app-partner,services/dsh/frontend/app-partner/DshPartnerSurface.tsx,149,Pressable,"<Pressable onPress={openStoreScope} style={[styles.storeScopeButton, { alignItems: isRTL ? 'flex-end' : 'flex-start' }]}>",REQUIRES_ACTION_PERMISSION_API_AND_STATE_PROOF
app-partner,services/dsh/frontend/app-partner/DshPartnerSurface.tsx,149,onPress,"<Pressable onPress={openStoreScope} style={[styles.storeScopeButton, { alignItems: isRTL ? 'flex-end' : 'flex-start' }]}>",REQUIRES_ACTION_PERMISSION_API_AND_STATE_PROOF
app-partner,services/dsh/frontend/app-partner/DshPartnerSurface.tsx,158,Pressable,"<Pressable accessibilityLabel=""البحث عن الطلبات"" onPress={openOrdersSearch}>",REQUIRES_ACTION_PERMISSION_API_AND_STATE_PROOF
app-partner,services/dsh/frontend/app-partner/DshPartnerSurface.tsx,158,onPress,"<Pressable accessibilityLabel=""البحث عن الطلبات"" onPress={openOrdersSearch}>",REQUIRES_ACTION_PERMISSION_API_AND_STATE_PROOF
app-partner,services/dsh/frontend/app-partner/DshPartnerSurface.tsx,161,Pressable,"<Pressable accessibilityLabel=""الإشعارات"" onPress={() => { setActiveOrderId(initialOrderId); setRoute('bell'); }}>",REQUIRES_ACTION_PERMISSION_API_AND_STATE_PROOF
app-partner,services/dsh/frontend/app-partner/DshPartnerSurface.tsx,161,onPress,"<Pressable accessibilityLabel=""الإشعارات"" onPress={() => { setActiveOrderId(initialOrderId); setRoute('bell'); }}>",REQUIRES_ACTION_PERMISSION_API_AND_STATE_PROOF
app-partner,services/dsh/frontend/app-partner/DshPartnerSurface.tsx,202,Pressable,<Pressable,REQUIRES_ACTION_PERMISSION_API_AND_STATE_PROOF
app-partner,services/dsh/frontend/app-partner/DshPartnerSurface.tsx,204,onPress,onPress={() => handleNavSelect(item.id)},REQUIRES_ACTION_PERMISSION_API_AND_STATE_PROOF
app-partner,services/dsh/frontend/app-partner/account/AuctionStatusUpdateScreen.tsx,81,onPress,onPress={() => setSelectedStatus(item.id)},REQUIRES_ACTION_PERMISSION_API_AND_STATE_PROOF
app-partner,services/dsh/frontend/app-partner/account/AuctionStatusUpdateScreen.tsx,100,Button,<Button,REQUIRES_ACTION_PERMISSION_API_AND_STATE_PROOF
