surface,path,line,control_kind,snippet,binding_state
control-panel,apps/control-panel/runtime/src/app/(shell)/dsh/login/page.tsx,90,button,<button,REQUIRES_ACTION_PERMISSION_API_AND_STATE_PROOF
control-panel,apps/control-panel/runtime/src/app/(shell)/dsh/login/page.tsx,92,onClick,onClick={() => void retryBootstrap()},REQUIRES_ACTION_PERMISSION_API_AND_STATE_PROOF
control-panel,apps/control-panel/runtime/src/app/(shell)/dsh/login/page.tsx,122,form,<form,REQUIRES_ACTION_PERMISSION_API_AND_STATE_PROOF
control-panel,apps/control-panel/runtime/src/app/(shell)/dsh/login/page.tsx,123,onSubmit,onSubmit={handleSubmit},REQUIRES_ACTION_PERMISSION_API_AND_STATE_PROOF
control-panel,apps/control-panel/runtime/src/app/(shell)/dsh/login/page.tsx,145,input,<input,REQUIRES_ACTION_PERMISSION_API_AND_STATE_PROOF
control-panel,apps/control-panel/runtime/src/app/(shell)/dsh/login/page.tsx,147,onChange,onChange={(event) => setUsername(event.target.value)},REQUIRES_ACTION_PERMISSION_API_AND_STATE_PROOF
control-panel,apps/control-panel/runtime/src/app/(shell)/dsh/login/page.tsx,156,input,<input,REQUIRES_ACTION_PERMISSION_API_AND_STATE_PROOF
control-panel,apps/control-panel/runtime/src/app/(shell)/dsh/login/page.tsx,159,onChange,onChange={(event) => setPassword(event.target.value)},REQUIRES_ACTION_PERMISSION_API_AND_STATE_PROOF
control-panel,apps/control-panel/runtime/src/app/(shell)/dsh/login/page.tsx,177,button,<button,REQUIRES_ACTION_PERMISSION_API_AND_STATE_PROOF
control-panel,apps/control-panel/runtime/src/app/(shell)/dsh/platform/page.tsx,22,onChange,onChange={(value) => setSection(value as PlatformSection)},REQUIRES_ACTION_PERMISSION_API_AND_STATE_PROOF
control-panel,apps/control-panel/runtime/src/shell/ControlPanelNavigation.tsx,120,button,<button,REQUIRES_ACTION_PERMISSION_API_AND_STATE_PROOF
control-panel,apps/control-panel/runtime/src/shell/ControlPanelNavigation.tsx,125,onClick,onClick={onPress},REQUIRES_ACTION_PERMISSION_API_AND_STATE_PROOF
control-panel,apps/control-panel/runtime/src/shell/ControlPanelNavigation.tsx,207,onPress,onPress={() => { onSectionPress?.(item.section); }},REQUIRES_ACTION_PERMISSION_API_AND_STATE_PROOF
control-panel,services/dsh/frontend/control-panel/administration/AdministrationDashboardScreen.tsx,222,onChange,"toolbar={<CpTabs items={MAIN_TAB_ITEMS} value={tab} onChange={(value) => setTab(value as AdminMainTabId)} aria-label=""أقسام الإدارة"" />}",REQUIRES_ACTION_PERMISSION_API_AND_STATE_PROOF
control-panel,services/dsh/frontend/control-panel/administration/AdministrationDiagnosticsPanel.tsx,24,onClick,<CpButton onClick={() => void diagnostics.reload()}>إعادة المحاولة</CpButton>,REQUIRES_ACTION_PERMISSION_API_AND_STATE_PROOF
control-panel,services/dsh/frontend/control-panel/administration/AdministrationDiagnosticsPanel.tsx,47,onClick,<CpButton onClick={() => void diagnostics.reload()}>تحديث التشخيص</CpButton>,REQUIRES_ACTION_PERMISSION_API_AND_STATE_PROOF
control-panel,services/dsh/frontend/control-panel/administration/DecisionRollbackQueue.tsx,79,onChange,onChange={setSourceApprovalId},REQUIRES_ACTION_PERMISSION_API_AND_STATE_PROOF
control-panel,services/dsh/frontend/control-panel/administration/DecisionRollbackQueue.tsx,85,onChange,onChange={setReason},REQUIRES_ACTION_PERMISSION_API_AND_STATE_PROOF
control-panel,services/dsh/frontend/control-panel/administration/DecisionRollbackQueue.tsx,92,onClick,onClick={() => void requestRollback()},REQUIRES_ACTION_PERMISSION_API_AND_STATE_PROOF
control-panel,services/dsh/frontend/control-panel/administration/DecisionRollbackQueue.tsx,102,onClick,"<CpButton key={approval.id} variant=""ghost"" onClick={() => setSourceApprovalId(approval.id)}>",REQUIRES_ACTION_PERMISSION_API_AND_STATE_PROOF
control-panel,services/dsh/frontend/control-panel/administration/DecisionRollbackQueue.tsx,143,onChange,"onChange={(value) => setReviewNotes((current) => ({ ...current, [request.id]: value }))}",REQUIRES_ACTION_PERMISSION_API_AND_STATE_PROOF
control-panel,services/dsh/frontend/control-panel/administration/DecisionRollbackQueue.tsx,149,onClick,"<CpButton variant=""brand"" disabled={submitting} onClick={() => void review(request.id, request.version, ""approved"")}>",REQUIRES_ACTION_PERMISSION_API_AND_STATE_PROOF
control-panel,services/dsh/frontend/control-panel/administration/DecisionRollbackQueue.tsx,155,onClick,"onClick={() => void review(request.id, request.version, ""rejected"")}",REQUIRES_ACTION_PERMISSION_API_AND_STATE_PROOF
control-panel,services/dsh/frontend/control-panel/administration/RoleAssignmentApprovalQueue.tsx,87,onChange,onChange={setTargetActorId},REQUIRES_ACTION_PERMISSION_API_AND_STATE_PROOF
control-panel,services/dsh/frontend/control-panel/administration/RoleAssignmentApprovalQueue.tsx,93,onChange,onChange={setRoleId},REQUIRES_ACTION_PERMISSION_API_AND_STATE_PROOF
control-panel,services/dsh/frontend/control-panel/administration/RoleAssignmentApprovalQueue.tsx,99,onChange,onChange={setReason},REQUIRES_ACTION_PERMISSION_API_AND_STATE_PROOF
control-panel,services/dsh/frontend/control-panel/administration/RoleAssignmentApprovalQueue.tsx,103,onClick,"<CpButton variant=""primary"" disabled={formInvalid} onClick={() => void requestChange(""staff_role_assignment"")}>",REQUIRES_ACTION_PERMISSION_API_AND_STATE_PROOF
control-panel,services/dsh/frontend/control-panel/administration/RoleAssignmentApprovalQueue.tsx,106,onClick,"<CpButton variant=""secondary"" disabled={formInvalid} onClick={() => void requestChange(""staff_role_revocation"")}>",REQUIRES_ACTION_PERMISSION_API_AND_STATE_PROOF
control-panel,services/dsh/frontend/control-panel/administration/RoleAssignmentApprovalQueue.tsx,139,onChange,"onChange={(value) => setReviewNotes((current) => ({ ...current, [approval.id]: value }))}",REQUIRES_ACTION_PERMISSION_API_AND_STATE_PROOF
control-panel,services/dsh/frontend/control-panel/administration/RoleAssignmentApprovalQueue.tsx,145,onClick,"<CpButton variant=""brand"" disabled={submitting} onClick={() => void review(approval.id, approval.version, ""approved"")}>",REQUIRES_ACTION_PERMISSION_API_AND_STATE_PROOF
control-panel,services/dsh/frontend/control-panel/administration/RoleAssignmentApprovalQueue.tsx,151,onClick,"onClick={() => void review(approval.id, approval.version, ""rejected"")}",REQUIRES_ACTION_PERMISSION_API_AND_STATE_PROOF
control-panel,services/dsh/frontend/control-panel/administration/RoleDefinitionApprovalQueue.tsx,118,onChange,onChange={setName},REQUIRES_ACTION_PERMISSION_API_AND_STATE_PROOF
control-panel,services/dsh/frontend/control-panel/administration/RoleDefinitionApprovalQueue.tsx,124,onChange,onChange={setDescription},REQUIRES_ACTION_PERMISSION_API_AND_STATE_PROOF
control-panel,services/dsh/frontend/control-panel/administration/RoleDefinitionApprovalQueue.tsx,130,onChange,onChange={setReason},REQUIRES_ACTION_PERMISSION_API_AND_STATE_PROOF
control-panel,services/dsh/frontend/control-panel/administration/RoleDefinitionApprovalQueue.tsx,140,onClick,onClick={() => togglePermission(permission)},REQUIRES_ACTION_PERMISSION_API_AND_STATE_PROOF
control-panel,services/dsh/frontend/control-panel/administration/RoleDefinitionApprovalQueue.tsx,153,onClick,onClick={() => toggleSurface(surface)},REQUIRES_ACTION_PERMISSION_API_AND_STATE_PROOF
control-panel,services/dsh/frontend/control-panel/administration/RoleDefinitionApprovalQueue.tsx,169,onClick,onClick={() => void requestRole()},REQUIRES_ACTION_PERMISSION_API_AND_STATE_PROOF
control-panel,services/dsh/frontend/control-panel/administration/RoleDefinitionApprovalQueue.tsx,209,onChange,"onChange={(value) => setReviewNotes((current) => ({ ...current, [request.id]: value }))}",REQUIRES_ACTION_PERMISSION_API_AND_STATE_PROOF
control-panel,services/dsh/frontend/control-panel/administration/RoleDefinitionApprovalQueue.tsx,215,onClick,"<CpButton variant=""brand"" disabled={submitting} onClick={() => void review(request.id, request.version, ""approved"")}>",REQUIRES_ACTION_PERMISSION_API_AND_STATE_PROOF
control-panel,services/dsh/frontend/control-panel/administration/RoleDefinitionApprovalQueue.tsx,221,onClick,"onClick={() => void review(request.id, request.version, ""rejected"")}",REQUIRES_ACTION_PERMISSION_API_AND_STATE_PROOF
control-panel,services/dsh/frontend/control-panel/analytics/AnalyticsDashboardScreen.tsx,64,onClick,"<CpButton variant=""secondary"" onClick={() => router.push(""/dsh/analytics/operational"")}>",REQUIRES_ACTION_PERMISSION_API_AND_STATE_PROOF
control-panel,services/dsh/frontend/control-panel/analytics/AnalyticsDashboardScreen.tsx,68,onChange,"toolbar={<CpTabs items={PERIOD_TABS} value={period} onChange={(value) => setPeriod(value as DshAnalyticsPeriod)} aria-label=""الفترة الزمنية"" />}",REQUIRES_ACTION_PERMISSION_API_AND_STATE_PROOF
control-panel,services/dsh/frontend/control-panel/analytics/AnalyticsDashboardScreen.tsx,197,onClick,<CpRetryButton onClick={reload}>إعادة المحاولة</CpRetryButton>,REQUIRES_ACTION_PERMISSION_API_AND_STATE_PROOF
control-panel,services/dsh/frontend/control-panel/analytics/OperationalAnalyticsExtensionsScreen.tsx,44,input,"// CpTextInput has no date-picker mode; a native <input type=""date""> is kept here",REQUIRES_ACTION_PERMISSION_API_AND_STATE_PROOF
control-panel,services/dsh/frontend/control-panel/analytics/OperationalAnalyticsExtensionsScreen.tsx,188,onChange,"<CpTabs items={PERIOD_TABS} value={activePeriodValue} onChange={(value) => applyNamedPeriod(value as DshAnalyticsPeriod)} aria-label=""الفترة الزمنية"" />",REQUIRES_ACTION_PERMISSION_API_AND_STATE_PROOF
control-panel,services/dsh/frontend/control-panel/analytics/OperationalAnalyticsExtensionsScreen.tsx,189,onClick,"<CpButton variant=""secondary"" onClick={() => void openExport()} disabled={exporting}>",REQUIRES_ACTION_PERMISSION_API_AND_STATE_PROOF
control-panel,services/dsh/frontend/control-panel/analytics/OperationalAnalyticsExtensionsScreen.tsx,199,input,<input,REQUIRES_ACTION_PERMISSION_API_AND_STATE_PROOF
control-panel,services/dsh/frontend/control-panel/analytics/OperationalAnalyticsExtensionsScreen.tsx,203,onChange,onChange={(event) => setCustomFrom(event.target.value)},REQUIRES_ACTION_PERMISSION_API_AND_STATE_PROOF
control-panel,services/dsh/frontend/control-panel/analytics/OperationalAnalyticsExtensionsScreen.tsx,209,input,<input,REQUIRES_ACTION_PERMISSION_API_AND_STATE_PROOF
control-panel,services/dsh/frontend/control-panel/analytics/OperationalAnalyticsExtensionsScreen.tsx,213,onChange,onChange={(event) => setCustomTo(event.target.value)},REQUIRES_ACTION_PERMISSION_API_AND_STATE_PROOF
control-panel,services/dsh/frontend/control-panel/analytics/OperationalAnalyticsExtensionsScreen.tsx,217,onClick,"<CpButton variant=""secondary"" onClick={applyCustomRange}>تطبيق النطاق</CpButton>",REQUIRES_ACTION_PERMISSION_API_AND_STATE_PROOF
control-panel,services/dsh/frontend/control-panel/analytics/OperationalAnalyticsExtensionsScreen.tsx,228,onClick,<CpRetryButton onClick={() => setReloadToken((value) => value + 1)}>إعادة المحاولة</CpRetryButton>,REQUIRES_ACTION_PERMISSION_API_AND_STATE_PROOF
control-panel,services/dsh/frontend/control-panel/analytics/OperationalAnalyticsExtensionsScreen.tsx,296,onClick,onClick={() => {,REQUIRES_ACTION_PERMISSION_API_AND_STATE_PROOF
control-panel,services/dsh/frontend/control-panel/catalogs/CatalogApprovalScreen.tsx,66,onChange,"onChange={(value) => setReasonByStore((current) => ({ ...current, [submission.storeId]: value }))}",REQUIRES_ACTION_PERMISSION_API_AND_STATE_PROOF
control-panel,services/dsh/frontend/control-panel/catalogs/CatalogApprovalScreen.tsx,74,onClick,onClick={() => void controller.decide({,REQUIRES_ACTION_PERMISSION_API_AND_STATE_PROOF
control-panel,services/dsh/frontend/control-panel/catalogs/CatalogApprovalScreen.tsx,85,onClick,onClick={() => void controller.decide({,REQUIRES_ACTION_PERMISSION_API_AND_STATE_PROOF
control-panel,services/dsh/frontend/control-panel/catalogs/CatalogDashboardScreen.tsx,460,onClick,"<CpButton variant=""secondary"" onClick={() => router.push(""/dsh/catalogs/governance"")}>",REQUIRES_ACTION_PERMISSION_API_AND_STATE_PROOF
control-panel,services/dsh/frontend/control-panel/catalogs/CatalogDashboardScreen.tsx,482,onChange,onChange={(value) => handleSelectMainGroup(value as MainGroupId)},REQUIRES_ACTION_PERMISSION_API_AND_STATE_PROOF
control-panel,services/dsh/frontend/control-panel/catalogs/CatalogDashboardScreen.tsx,491,onChange,onChange={(value) => setActiveTab(value as TabId)},REQUIRES_ACTION_PERMISSION_API_AND_STATE_PROOF
control-panel,services/dsh/frontend/control-panel/catalogs/CatalogDashboardScreen.tsx,512,onChange,onChange={(v) => {,REQUIRES_ACTION_PERMISSION_API_AND_STATE_PROOF
control-panel,services/dsh/frontend/control-panel/catalogs/CatalogDashboardScreen.tsx,517,onClick,<CpButton onClick={() => void controller.reloadStoreAssortment(selectedStoreId)}>,REQUIRES_ACTION_PERMISSION_API_AND_STATE_PROOF
control-panel,services/dsh/frontend/control-panel/catalogs/CatalogDashboardScreen.tsx,524,onChange,onChange={setSearchQuery},REQUIRES_ACTION_PERMISSION_API_AND_STATE_PROOF
control-panel,services/dsh/frontend/control-panel/catalogs/CatalogDashboardScreen.tsx,566,onClick,"<CpButton onClick={() => router.push(""/dsh/catalogs/governance"")}>",REQUIRES_ACTION_PERMISSION_API_AND_STATE_PROOF
control-panel,services/dsh/frontend/control-panel/catalogs/CatalogDashboardScreen.tsx,591,onClick,<CpButton onClick={() => {,REQUIRES_ACTION_PERMISSION_API_AND_STATE_PROOF
control-panel,services/dsh/frontend/control-panel/catalogs/CatalogDashboardScreen.tsx,604,onClick,onClick={() => void handleBulkActivate()},REQUIRES_ACTION_PERMISSION_API_AND_STATE_PROOF
control-panel,services/dsh/frontend/control-panel/catalogs/CatalogDashboardScreen.tsx,681,onChange,onChange={(value) => setSelectedProposalStatus(value as ProductProposalPipelineStatus)},REQUIRES_ACTION_PERMISSION_API_AND_STATE_PROOF
control-panel,services/dsh/frontend/control-panel/catalogs/CatalogDashboardScreen.tsx,716,input,<input,REQUIRES_ACTION_PERMISSION_API_AND_STATE_PROOF
control-panel,services/dsh/frontend/control-panel/catalogs/CatalogDashboardScreen.tsx,719,onChange,"onChange={(e) => setCreateProductInsteadOfLink((curr) => ({ ...curr, [p.id]: e.target.checked }))}",REQUIRES_ACTION_PERMISSION_API_AND_STATE_PROOF
control-panel,services/dsh/frontend/control-panel/catalogs/CatalogDashboardScreen.tsx,726,onChange,"onChange={(val) => setSelectedAdoptedProductId((curr) => ({ ...curr, [p.id]: val }))}",REQUIRES_ACTION_PERMISSION_API_AND_STATE_PROOF
control-panel,services/dsh/frontend/control-panel/catalogs/CatalogDashboardScreen.tsx,737,onChange,"onChange={(value) => setReasonByProposal((curr) => ({ ...curr, [p.id]: value }))}",REQUIRES_ACTION_PERMISSION_API_AND_STATE_PROOF
control-panel,services/dsh/frontend/control-panel/catalogs/CatalogDashboardScreen.tsx,744,onClick,"<CpButton disabled={!note.trim()} onClick={() => handleProposalTransition(p.id, ""partner-review"", note)}>بدء المراجعة</CpButton>",REQUIRES_ACTION_PERMISSION_API_AND_STATE_PROOF
control-panel,services/dsh/frontend/control-panel/catalogs/CatalogDashboardScreen.tsx,745,onClick,"<CpButton disabled={!note.trim()} onClick={() => handleProposalTransition(p.id, ""needs-fix"", note)}>طلب تعديل</CpButton>",REQUIRES_ACTION_PERMISSION_API_AND_STATE_PROOF
