surface,path,owner,bytes,lines,classification,binding_state
control-panel,apps/control-panel/runtime/src/app/(shell)/dsh/administration/page.tsx,control-panel,198,7,SCREEN_OR_ROUTE_CANDIDATE,REQUIRES_ROUTE_AND_RUNTIME_PROOF
control-panel,apps/control-panel/runtime/src/app/(shell)/dsh/analytics/operational/page.tsx,control-panel,367,12,SCREEN_OR_ROUTE_CANDIDATE,REQUIRES_ROUTE_AND_RUNTIME_PROOF
control-panel,apps/control-panel/runtime/src/app/(shell)/dsh/analytics/page.tsx,control-panel,321,12,SCREEN_OR_ROUTE_CANDIDATE,REQUIRES_ROUTE_AND_RUNTIME_PROOF
control-panel,apps/control-panel/runtime/src/app/(shell)/dsh/catalogs/governance/page.tsx,control-panel,185,7,SCREEN_OR_ROUTE_CANDIDATE,REQUIRES_ROUTE_AND_RUNTIME_PROOF
control-panel,apps/control-panel/runtime/src/app/(shell)/dsh/catalogs/page.tsx,control-panel,177,7,SCREEN_OR_ROUTE_CANDIDATE,REQUIRES_ROUTE_AND_RUNTIME_PROOF
control-panel,apps/control-panel/runtime/src/app/(shell)/dsh/dashboard/page.tsx,control-panel,193,7,SCREEN_OR_ROUTE_CANDIDATE,REQUIRES_ROUTE_AND_RUNTIME_PROOF
control-panel,apps/control-panel/runtime/src/app/(shell)/dsh/hr/page.tsx,control-panel,157,7,SCREEN_OR_ROUTE_CANDIDATE,REQUIRES_ROUTE_AND_RUNTIME_PROOF
control-panel,apps/control-panel/runtime/src/app/(shell)/dsh/login/page.tsx,control-panel,6138,196,SCREEN_OR_ROUTE_CANDIDATE,REQUIRES_ROUTE_AND_RUNTIME_PROOF
control-panel,apps/control-panel/runtime/src/app/(shell)/dsh/marketing/page.tsx,control-panel,180,7,SCREEN_OR_ROUTE_CANDIDATE,REQUIRES_ROUTE_AND_RUNTIME_PROOF
control-panel,apps/control-panel/runtime/src/app/(shell)/dsh/operations/page.tsx,control-panel,301,12,SCREEN_OR_ROUTE_CANDIDATE,REQUIRES_ROUTE_AND_RUNTIME_PROOF
control-panel,apps/control-panel/runtime/src/app/(shell)/dsh/partners/[partnerId]/page.tsx,control-panel,473,17,SCREEN_OR_ROUTE_CANDIDATE,REQUIRES_ROUTE_AND_RUNTIME_PROOF
control-panel,apps/control-panel/runtime/src/app/(shell)/dsh/partners/page.tsx,control-panel,483,17,SCREEN_OR_ROUTE_CANDIDATE,REQUIRES_ROUTE_AND_RUNTIME_PROOF
control-panel,apps/control-panel/runtime/src/app/(shell)/dsh/partners/stores/page.tsx,control-panel,180,7,SCREEN_OR_ROUTE_CANDIDATE,REQUIRES_ROUTE_AND_RUNTIME_PROOF
control-panel,apps/control-panel/runtime/src/app/(shell)/dsh/platform/page.tsx,control-panel,1390,43,SCREEN_OR_ROUTE_CANDIDATE,REQUIRES_ROUTE_AND_RUNTIME_PROOF
control-panel,apps/control-panel/runtime/src/app/(shell)/dsh/platform/policies/page.tsx,control-panel,206,7,SCREEN_OR_ROUTE_CANDIDATE,REQUIRES_ROUTE_AND_RUNTIME_PROOF
control-panel,apps/control-panel/runtime/src/app/(shell)/dsh/support/page.tsx,control-panel,175,7,SCREEN_OR_ROUTE_CANDIDATE,REQUIRES_ROUTE_AND_RUNTIME_PROOF
control-panel,apps/control-panel/runtime/src/app/(shell)/layout.tsx,control-panel,2398,71,SCREEN_OR_ROUTE_CANDIDATE,REQUIRES_ROUTE_AND_RUNTIME_PROOF
control-panel,apps/control-panel/runtime/src/app/(shell)/wlt/finance/page.tsx,control-panel,535,17,SCREEN_OR_ROUTE_CANDIDATE,REQUIRES_ROUTE_AND_RUNTIME_PROOF
control-panel,apps/control-panel/runtime/src/app/(shell)/wlt/finance/payment-sessions/page.tsx,control-panel,181,5,SCREEN_OR_ROUTE_CANDIDATE,REQUIRES_ROUTE_AND_RUNTIME_PROOF
control-panel,apps/control-panel/runtime/src/app/api/[service]/[...path]/route.ts,control-panel,1989,65,SCREEN_OR_ROUTE_CANDIDATE,REQUIRES_ROUTE_AND_RUNTIME_PROOF
control-panel,apps/control-panel/runtime/src/app/api/auth/activate/route.ts,control-panel,2178,71,SCREEN_OR_ROUTE_CANDIDATE,REQUIRES_ROUTE_AND_RUNTIME_PROOF
control-panel,apps/control-panel/runtime/src/app/api/auth/login/route.ts,control-panel,1967,63,SCREEN_OR_ROUTE_CANDIDATE,REQUIRES_ROUTE_AND_RUNTIME_PROOF
